Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Random (No Terminate),1.0,37,0.0
,Random (No Terminate),1.0,51,0.0
,Random (No Terminate),1.0,51,1.0
,Random (No Terminate),1.0,51,2.0
,Random (No Terminate),1.0,58,0.0
,Random (No Terminate),1.0,58,1.0
,Random (No Terminate),1.0,65,1.0
,Random (No Terminate),1.0,72,1.0
,Random (No Terminate),1.0,72,2.0
,Random (No Terminate),1.0,80,3.0
,Random (No Terminate),1.0,80,2.0
,Random (No Terminate),1.0,87,1.0
,Random (No Terminate),1.0,101,-3.0
,Random (No Terminate),1.0,137,3.0
,Random (No Terminate),1.0,137,3.0
,Random (No Terminate),1.0,144,3.0
,Random (No Terminate),1.0,144,3.0
,Random (No Terminate),1.0,152,2.0
,Random (No Terminate),1.0,166,3.0
,Random (No Terminate),1.0,173,4.0
