Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Random (No Terminate),0.25,12,0.0
,Random (No Terminate),0.25,17,0.0
,Random (No Terminate),0.25,23,11.0
,Random (No Terminate),0.25,25,11.0
,Random (No Terminate),0.25,31,11.0
,Random (No Terminate),0.25,33,11.0
,Random (No Terminate),0.25,58,1.0
,Random (No Terminate),0.25,74,1.0
,Random (No Terminate),0.25,74,11.0
,Random (No Terminate),0.25,76,13.0
,Random (No Terminate),0.25,94,14.0
,Random (No Terminate),0.25,95,13.0
,Random (No Terminate),0.25,107,13.0
,Random (No Terminate),0.25,107,2.0
,Random (No Terminate),0.25,108,12.0
,Random (No Terminate),0.25,111,13.0
,Random (No Terminate),0.25,116,12.0
,Random (No Terminate),0.25,117,13.0
,Random (No Terminate),0.25,130,14.0
,Random (No Terminate),0.25,132,13.0
,Random (No Terminate),0.25,143,3.0
,Random (No Terminate),0.25,157,2.0
,Random (No Terminate),0.25,177,14.0
,Random (No Terminate),0.25,184,13.0
,Random (No Terminate),0.25,188,13.0
,Random (No Terminate),0.25,196,14.0
,Random (No Terminate),0.25,216,15.0
,Random (No Terminate),0.25,236,13.0
,Random (No Terminate),0.25,252,15.0
,Random (No Terminate),0.25,299,14.0
,Random (No Terminate),0.25,300,14.0
,Random (No Terminate),0.25,390,15.0
,AStar,0.25,3,0.0
,AStar,0.25,11,0.0
,AStar,0.25,13,0.0
,AStar,0.25,14,0.0
,AStar,0.25,17,0.0
,AStar,0.25,18,0.0
,AStar,0.25,8,0.0
,AStar,0.25,3,0.0
,AStar,0.25,30,11.0
,AStar,0.25,31,11.0
,AStar,0.25,33,11.0
,AStar,0.25,30,0.0
,AStar,0.25,46,12.0
,AStar,0.25,50,12.0
,AStar,0.25,31,11.0
,AStar,0.25,66,12.0
,AStar,0.25,14,0.0
,AStar,0.25,75,12.0
,AStar,0.25,26,11.0
,AStar,0.25,10,0.0
,AStar,0.25,79,2.0
,AStar,0.25,120,13.0
,AStar,0.25,87,12.0
,AStar,0.25,132,13.0
,AStar,0.25,84,12.0
,AStar,0.25,15,0.0
,AStar,0.25,136,13.0
,AStar,0.25,100,12.0
,AStar,0.25,140,13.0
,AStar,0.25,135,15.0
,AStar,0.25,29,11.0
,AStar,0.25,154,13.0
,AStar,0.25,129,15.0
,AStar,0.25,22,11.0
,AStar,0.25,171,15.0
,AStar,0.25,170,15.0
,AStar,0.25,175,12.0
,AStar,0.25,181,12.0
,AStar,0.25,168,14.0
,AStar,0.25,1,0.0
,AStar,0.25,36,1.0
,AStar,0.25,22,11.0
,AStar,0.25,198,14.0
,AStar,0.25,202,12.0
,AStar,0.25,30,11.0
,AStar,0.25,203,14.0
,AStar,0.25,211,14.0
,AStar,0.25,80,11.0
,AStar,0.25,218,0.0
,AStar,0.25,52,11.0
