Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Instant Terminate,1.0,1,0.0
,Instant Terminate,1.0,1,0.0
,Instant Terminate,1.0,1,0.0
,Instant Terminate,1.0,2,0.0
,Instant Terminate,1.0,5,0.0
,Instant Terminate,1.0,7,0.0
,Instant Terminate,1.0,8,0.0
,Instant Terminate,1.0,26,0.0
,Instant Terminate,1.0,31,1.0
,Instant Terminate,1.0,34,0.0
,Instant Terminate,1.0,34,0.0
,Instant Terminate,1.0,36,1.0
,Instant Terminate,1.0,2,0.0
,Instant Terminate,1.0,3,0.0
,Instant Terminate,1.0,4,0.0
,Instant Terminate,1.0,1,0.0
,Instant Terminate,1.0,3,0.0
,Instant Terminate,1.0,57,12.0
,Instant Terminate,1.0,18,0.0
,Instant Terminate,1.0,1,0.0
,Instant Terminate,1.0,63,2.0
,Instant Terminate,1.0,64,2.0
,Instant Terminate,1.0,74,12.0
,Instant Terminate,1.0,27,11.0
,Instant Terminate,1.0,88,13.0
,Instant Terminate,1.0,6,0.0
,Instant Terminate,1.0,73,12.0
,Instant Terminate,1.0,126,2.0
