Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Instant Terminate,1.0,5,0.0
,Instant Terminate,1.0,6,0.0
,Instant Terminate,1.0,6,0.0
,Instant Terminate,1.0,6,0.0
,Instant Terminate,1.0,6,0.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,7,10.0
,Instant Terminate,1.0,7,10.0
,Instant Terminate,1.0,9,0.0
,Instant Terminate,1.0,9,10.0
,Instant Terminate,1.0,9,0.0
,Instant Terminate,1.0,10,10.0
,Instant Terminate,1.0,10,0.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,7,0.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,13,0.0
,Instant Terminate,1.0,13,10.0
,Instant Terminate,1.0,14,10.0
,Instant Terminate,1.0,8,10.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,17,0.0
,Instant Terminate,1.0,7,10.0
,Instant Terminate,1.0,7,0.0
,Instant Terminate,1.0,11,0.0
,Instant Terminate,1.0,9,10.0
,Instant Terminate,1.0,19,0.0
,Instant Terminate,1.0,7,10.0
,Instant Terminate,1.0,7,10.0
,Instant Terminate,1.0,12,0.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,9,10.0
,Instant Terminate,1.0,23,10.0
,Instant Terminate,1.0,10,10.0
,Instant Terminate,1.0,9,10.0
,Instant Terminate,1.0,9,0.0
,Instant Terminate,1.0,7,0.0
,Instant Terminate,1.0,11,10.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,7,0.0
,Instant Terminate,1.0,20,0.0
,Instant Terminate,1.0,16,0.0
,Instant Terminate,1.0,25,0.0
,Instant Terminate,1.0,100,0.0
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,100,0.0
,Instant Terminate,1.0,100,0.0
