Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Instant Terminate,1.0,35,0.0
,Instant Terminate,1.0,180,40.0
,Instant Terminate,1.0,221,40.0
,Instant Terminate,1.0,278,29.0
,Instant Terminate,1.0,369,39.0
,Instant Terminate,1.0,423,82.0
,Instant Terminate,1.0,500,51.0
,Instant Terminate,1.0,500,84.0
,Instant Terminate,1.0,193,40.0
,Instant Terminate,1.0,500,82.0
,Instant Terminate,1.0,246,47.0
,Instant Terminate,1.0,39,2.0
,Instant Terminate,1.0,500,88.0
,Instant Terminate,1.0,304,80.0
,Instant Terminate,1.0,102,7.0
,Instant Terminate,1.0,500,80.0
,Instant Terminate,1.0,236,40.0
,Instant Terminate,1.0,60,9.0
,Instant Terminate,1.0,85,9.0
,Instant Terminate,1.0,281,46.0
,Instant Terminate,1.0,235,19.0
,Instant Terminate,1.0,378,48.0
,Instant Terminate,1.0,500,51.0
,Instant Terminate,1.0,242,29.0
,Instant Terminate,1.0,197,42.0
,Instant Terminate,1.0,349,51.0
,Instant Terminate,1.0,66,6.0
,Instant Terminate,1.0,13,1.0
,Instant Terminate,1.0,173,12.0
,Instant Terminate,1.0,500,60.0
,Instant Terminate,1.0,491,91.0
,Instant Terminate,1.0,500,108.0
,Instant Terminate,1.0,117,18.0
,Instant Terminate,1.0,135,11.0
,Instant Terminate,1.0,27,1.0
,Instant Terminate,1.0,71,7.0
,Instant Terminate,1.0,500,57.0
,Instant Terminate,1.0,295,46.0
,Instant Terminate,1.0,76,10.0
,Instant Terminate,1.0,199,40.0
,Instant Terminate,1.0,500,71.0
,Instant Terminate,1.0,15,1.0
,Instant Terminate,1.0,500,95.0
,Instant Terminate,1.0,20,0.0
,Instant Terminate,1.0,121,20.0
,Instant Terminate,1.0,408,84.0
,Instant Terminate,1.0,106,14.0
,Instant Terminate,1.0,335,47.0
,Instant Terminate,1.0,92,5.0
,Instant Terminate,1.0,425,80.0
,Instant Terminate,1.0,44,3.0
,Instant Terminate,1.0,347,48.0
,Instant Terminate,1.0,177,40.0
,Instant Terminate,1.0,99,3.0
,Instant Terminate,1.0,500,82.0
,Instant Terminate,1.0,216,41.0
,Instant Terminate,1.0,186,42.0
,Instant Terminate,1.0,358,50.0
,Instant Terminate,1.0,36,3.0
,Instant Terminate,1.0,333,50.0
,Instant Terminate,1.0,500,69.0
,Instant Terminate,1.0,32,1.0
,Instant Terminate,1.0,128,13.0
,Instant Terminate,1.0,500,24.0
,Instant Terminate,1.0,500,75.0
,Instant Terminate,1.0,24,2.0
,Instant Terminate,1.0,19,3.0
,Instant Terminate,1.0,231,43.0
,Instant Terminate,1.0,268,45.0
,Instant Terminate,1.0,212,41.0
,Instant Terminate,1.0,142,14.0
,Instant Terminate,1.0,227,48.0
,Instant Terminate,1.0,34,3.0
,Instant Terminate,1.0,182,40.0
,Instant Terminate,1.0,236,40.0
,Instant Terminate,1.0,26,1.0
,Instant Terminate,1.0,500,102.0
,Instant Terminate,1.0,383,81.0
,Instant Terminate,1.0,17,3.0
,Instant Terminate,1.0,249,41.0
,Instant Terminate,1.0,500,94.0
,Instant Terminate,1.0,404,82.0
,Instant Terminate,1.0,179,40.0
,Instant Terminate,1.0,500,60.0
,Instant Terminate,1.0,110,12.0
,Instant Terminate,1.0,162,40.0
,Instant Terminate,1.0,289,54.0
,Instant Terminate,1.0,36,4.0
