Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Instant Terminate,1.0,37,1.0
,Instant Terminate,1.0,37,1.0
,Instant Terminate,1.0,44,0.0
,Instant Terminate,1.0,51,0.0
,Instant Terminate,1.0,51,0.0
,Instant Terminate,1.0,51,0.0
,Instant Terminate,1.0,51,1.0
,Instant Terminate,1.0,51,0.0
,Instant Terminate,1.0,58,0.0
,Instant Terminate,1.0,58,0.0
,Instant Terminate,1.0,58,0.0
,Instant Terminate,1.0,58,-3.0
,Instant Terminate,1.0,58,0.0
,Instant Terminate,1.0,58,0.0
,Instant Terminate,1.0,58,0.0
,Instant Terminate,1.0,65,1.0
,Instant Terminate,1.0,65,-3.0
,Instant Terminate,1.0,65,0.0
,Instant Terminate,1.0,65,1.0
,Instant Terminate,1.0,65,0.0
,Instant Terminate,1.0,65,0.0
,Instant Terminate,1.0,65,-4.0
,Instant Terminate,1.0,66,0.0
,Instant Terminate,1.0,72,0.0
,Instant Terminate,1.0,72,-4.0
,Instant Terminate,1.0,72,1.0
,Instant Terminate,1.0,72,0.0
,Instant Terminate,1.0,72,0.0
,Instant Terminate,1.0,72,1.0
,Instant Terminate,1.0,72,-4.0
,Instant Terminate,1.0,72,1.0
,Instant Terminate,1.0,72,-4.0
,Instant Terminate,1.0,72,-4.0
,Instant Terminate,1.0,72,1.0
,Instant Terminate,1.0,72,0.0
,Instant Terminate,1.0,72,-3.0
,Instant Terminate,1.0,72,0.0
,Instant Terminate,1.0,72,-4.0
,Instant Terminate,1.0,72,-2.0
,Instant Terminate,1.0,80,1.0
,Instant Terminate,1.0,80,-4.0
,Instant Terminate,1.0,80,2.0
,Instant Terminate,1.0,80,1.0
,Instant Terminate,1.0,80,1.0
,Instant Terminate,1.0,80,2.0
,Instant Terminate,1.0,80,1.0
,Instant Terminate,1.0,80,-8.0
,Instant Terminate,1.0,87,1.0
,Instant Terminate,1.0,87,-3.0
,Instant Terminate,1.0,87,-4.0
,Instant Terminate,1.0,87,0.0
,Instant Terminate,1.0,87,-4.0
,Instant Terminate,1.0,94,-2.0
,Instant Terminate,1.0,94,0.0
,Instant Terminate,1.0,94,-3.0
,Instant Terminate,1.0,94,-7.0
,Instant Terminate,1.0,94,0.0
,Instant Terminate,1.0,101,0.0
,Instant Terminate,1.0,101,-2.0
,Instant Terminate,1.0,101,0.0
,Instant Terminate,1.0,108,-4.0
,Instant Terminate,1.0,116,-3.0
,Instant Terminate,1.0,116,0.0
,Instant Terminate,1.0,123,-7.0
,AStar,1.0,37,0.0
,AStar,1.0,37,0.0
