Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Instant Terminate,0.25,11,1.0
Instant Terminate,0.25,39,5.0
Instant Terminate,0.25,50,7.0
Instant Terminate,0.25,53,12.0
Instant Terminate,0.25,59,4.0
Instant Terminate,0.25,39,5.0
Instant Terminate,0.25,90,8.0
Instant Terminate,0.25,92,4.0
Instant Terminate,0.25,94,11.0
Instant Terminate,0.25,83,2.0
Instant Terminate,0.25,103,17.0
Instant Terminate,0.25,30,2.0
Instant Terminate,0.25,137,25.0
Instant Terminate,0.25,102,7.0
Instant Terminate,0.25,161,26.0
Instant Terminate,0.25,170,28.0
Instant Terminate,0.25,0,0.0
Instant Terminate,0.25,172,10.0
Instant Terminate,0.25,86,14.0
Instant Terminate,0.25,91,11.0
AStar,0.25,9,0.0
AStar,0.25,47,4.0
AStar,0.25,54,6.0
AStar,0.25,73,10.0
AStar,0.25,64,7.0
AStar,0.25,97,12.0
AStar,0.25,98,40.0
AStar,0.25,143,40.0
AStar,0.25,148,5.0
AStar,0.25,56,11.0
AStar,0.25,170,44.0
AStar,0.25,33,4.0
AStar,0.25,189,22.0
AStar,0.25,189,45.0
AStar,0.25,200,42.0
AStar,0.25,207,42.0
AStar,0.25,179,40.0
AStar,0.25,235,52.0
AStar,0.25,99,40.0
AStar,0.25,294,65.0
Random,0.25,11,2.0
Random,0.25,41,4.0
Random,0.25,44,4.0
Random,0.25,47,7.0
Random,0.25,57,7.0
Random,0.25,63,6.0
Random,0.25,74,1.0
Random,0.25,86,16.0
Random,0.25,85,11.0
Random,0.25,109,10.0
Random,0.25,29,1.0
Random,0.25,108,19.0
Random,0.25,69,9.0
Random,0.25,142,20.0
Random,0.25,166,17.0
Random,0.25,54,12.0
Random,0.25,240,43.0
Random,0.25,32,2.0
Random,0.25,189,16.0
Random,0.25,150,16.0
Random (No Terminate),0.25,3,0.0
Random (No Terminate),0.25,54,8.0
Random (No Terminate),0.25,55,3.0
Random (No Terminate),0.25,17,2.0
Random (No Terminate),0.25,77,12.0
Random (No Terminate),0.25,74,11.0
Random (No Terminate),0.25,161,40.0
Random (No Terminate),0.25,175,40.0
Random (No Terminate),0.25,98,12.0
Random (No Terminate),0.25,179,44.0
Random (No Terminate),0.25,186,42.0
Random (No Terminate),0.25,20,0.0
Random (No Terminate),0.25,218,44.0
Random (No Terminate),0.25,219,40.0
Random (No Terminate),0.25,226,42.0
Random (No Terminate),0.25,232,43.0
Random (No Terminate),0.25,180,40.0
Random (No Terminate),0.25,17,1.0
Random (No Terminate),0.25,47,7.0
Random (No Terminate),0.25,279,80.0
Instant Terminate,0.5,500,69.0
Instant Terminate,0.5,291,23.0
Instant Terminate,0.5,147,22.0
Instant Terminate,0.5,178,17.0
Instant Terminate,0.5,500,54.0
Instant Terminate,0.5,366,56.0
Instant Terminate,0.5,185,9.0
Instant Terminate,0.5,26,5.0
Instant Terminate,0.5,46,4.0
Instant Terminate,0.5,224,40.0
Instant Terminate,0.5,300,40.0
Instant Terminate,0.5,2,0.0
Instant Terminate,0.5,236,40.0
Instant Terminate,0.5,3,0.0
Instant Terminate,0.5,17,0.0
Instant Terminate,0.5,67,7.0
Instant Terminate,0.5,167,8.0
Instant Terminate,0.5,401,50.0
Instant Terminate,0.5,384,46.0
Instant Terminate,0.5,500,79.0
AStar,0.5,177,40.0
AStar,0.5,135,40.0
AStar,0.5,238,40.0
AStar,0.5,160,40.0
AStar,0.5,312,80.0
AStar,0.5,163,40.0
AStar,0.5,171,40.0
AStar,0.5,312,80.0
AStar,0.5,391,91.0
AStar,0.5,207,40.0
AStar,0.5,167,40.0
AStar,0.5,500,97.0
AStar,0.5,320,81.0
AStar,0.5,193,40.0
AStar,0.5,500,107.0
