Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Random (No Terminate),0.1,44,1.0
,Random (No Terminate),0.1,51,4.0
,Random (No Terminate),0.1,51,3.0
,Random (No Terminate),0.1,58,0.0
,Random (No Terminate),0.1,58,0.0
,Random (No Terminate),0.1,58,1.0
,Random (No Terminate),0.1,58,1.0
,Random (No Terminate),0.1,58,2.0
,Random (No Terminate),0.1,65,1.0
,Random (No Terminate),0.1,65,2.0
,Random (No Terminate),0.1,72,2.0
,Random (No Terminate),0.1,72,1.0
,Random (No Terminate),0.1,80,3.0
,Random (No Terminate),0.1,80,1.0
,Random (No Terminate),0.1,80,3.0
,Random (No Terminate),0.1,80,2.0
,Random (No Terminate),0.1,80,3.0
,Random (No Terminate),0.1,101,2.0
,Random (No Terminate),0.1,101,1.0
,Random (No Terminate),0.1,101,1.0
,Random (No Terminate),0.1,108,2.0
,Random (No Terminate),0.1,72,3.0
,Random (No Terminate),0.1,72,1.0
,Random (No Terminate),0.1,58,1.0
,Random (No Terminate),0.1,51,2.0
,Random (No Terminate),0.1,137,3.0
,Random (No Terminate),0.1,80,2.0
,Random (No Terminate),0.1,44,1.0
,Random (No Terminate),0.1,87,3.0
,Random (No Terminate),0.1,87,1.0
,Random (No Terminate),0.1,72,2.0
,Random (No Terminate),0.1,72,1.0
,Random (No Terminate),0.1,152,2.0
,Random (No Terminate),0.1,152,3.0
,Random (No Terminate),0.1,152,0.0
,Random (No Terminate),0.1,51,3.0
,Random (No Terminate),0.1,80,3.0
,Random (No Terminate),0.1,159,2.0
,Random (No Terminate),0.1,166,4.0
,Random (No Terminate),0.1,108,2.0
,Random (No Terminate),0.1,51,0.0
,Random (No Terminate),0.1,116,1.0
,Random (No Terminate),0.1,94,1.0
,Random (No Terminate),0.1,51,0.0
,Random (No Terminate),0.1,180,2.0
,Random (No Terminate),0.1,87,2.0
,Random (No Terminate),0.1,44,1.0
,Random (No Terminate),0.1,72,2.0
,Random (No Terminate),0.1,80,2.0
,Random (No Terminate),0.1,209,2.0
,Random (No Terminate),0.1,72,4.0
,Random (No Terminate),0.1,65,1.0
,Random (No Terminate),0.1,166,7.0
,Random (No Terminate),0.1,51,0.0
,Random (No Terminate),0.1,72,3.0
,Random (No Terminate),0.1,65,1.0
,Random (No Terminate),0.1,80,2.0
,Random (No Terminate),0.1,238,8.0
,Random (No Terminate),0.1,72,0.0
,Random (No Terminate),0.1,173,-2.0
,Random (No Terminate),0.1,72,3.0
,Random (No Terminate),0.1,108,3.0
,Random (No Terminate),0.1,202,0.0
,Random (No Terminate),0.1,144,-2.0
,Random (No Terminate),0.1,80,2.0
,Random (No Terminate),0.1,108,1.0
,Random (No Terminate),0.1,116,3.0
,Random (No Terminate),0.1,166,4.0
,Random (No Terminate),0.1,116,1.0
,Random (No Terminate),0.1,65,0.0
,Random (No Terminate),0.1,65,2.0
,Random (No Terminate),0.1,80,1.0
,Random (No Terminate),0.1,72,0.0
,Random (No Terminate),0.1,94,3.0
,Random (No Terminate),0.1,87,3.0
,Random (No Terminate),0.1,144,2.0
,Random (No Terminate),0.1,87,1.0
,Random (No Terminate),0.1,303,9.0
,Random (No Terminate),0.1,58,0.0
,Random (No Terminate),0.1,72,0.0
,Random (No Terminate),0.1,65,0.0
,Random (No Terminate),0.1,87,1.0
,Random (No Terminate),0.1,87,0.0
,Random (No Terminate),0.1,331,8.0
,Random (No Terminate),0.1,152,1.0
,Random (No Terminate),0.1,94,1.0
,Random (No Terminate),0.1,87,1.0
,Random (No Terminate),0.1,137,1.0
,Random (No Terminate),0.1,58,1.0
,Random (No Terminate),0.1,216,1.0
,Random (No Terminate),0.1,123,1.0
,Random (No Terminate),0.1,94,1.0
,Random (No Terminate),0.1,87,0.0
,Random (No Terminate),0.1,123,5.0
,Random (No Terminate),0.1,123,0.0
,Random (No Terminate),0.1,159,4.0
,Random (No Terminate),0.1,65,1.0
,Random (No Terminate),0.1,51,3.0
,Random (No Terminate),0.1,245,9.0
,Random (No Terminate),0.1,159,0.0
,Random (No Terminate),0.1,58,1.0
,Random (No Terminate),0.1,245,6.0
,Random (No Terminate),0.1,65,1.0
,Random (No Terminate),0.1,87,2.0
,Random (No Terminate),0.1,94,2.0
,Random (No Terminate),0.1,182,7.0
,Random (No Terminate),0.1,72,2.0
,Random (No Terminate),0.1,94,-3.0
,Random (No Terminate),0.1,72,0.0
,Random (No Terminate),0.1,144,3.0
,Random (No Terminate),0.1,152,3.0
,Random (No Terminate),0.1,65,3.0
,Random (No Terminate),0.1,58,1.0
,Random (No Terminate),0.1,137,3.0
,Random (No Terminate),0.1,80,2.0
,Random (No Terminate),0.1,72,3.0
,Random (No Terminate),0.1,396,8.0
,Random (No Terminate),0.1,159,3.0
,Random (No Terminate),0.1,65,2.0
,Random (No Terminate),0.1,159,-1.0
,Random (No Terminate),0.1,87,2.0
,Random (No Terminate),0.1,87,3.0
,Random (No Terminate),0.1,223,8.0
,Random (No Terminate),0.1,80,4.0
,Random (No Terminate),0.1,80,1.0
,Random (No Terminate),0.1,65,6.0
,Random (No Terminate),0.1,195,5.0
,Random (No Terminate),0.1,195,6.0
,Random (No Terminate),0.1,137,2.0
,Random (No Terminate),0.1,58,2.0
,Random (No Terminate),0.1,72,1.0
,Random (No Terminate),0.1,58,-4.0
,Random (No Terminate),0.1,65,2.0
,Random (No Terminate),0.1,87,2.0
,Random (No Terminate),0.1,252,6.0
,Random (No Terminate),0.1,44,2.0
,Random (No Terminate),0.1,58,1.0
,Random (No Terminate),0.1,51,0.0
,Random (No Terminate),0.1,116,4.0
,Random (No Terminate),0.1,80,2.0
,Random (No Terminate),0.1,209,3.0
,Random (No Terminate),0.1,58,1.0
,Random (No Terminate),0.1,274,2.0
,Random (No Terminate),0.1,58,4.0
,Random (No Terminate),0.1,65,2.0
,Random (No Terminate),0.1,87,2.0
,Random (No Terminate),0.1,152,-1.0
,Random (No Terminate),0.1,87,1.0
,Random (No Terminate),0.1,65,0.0
,Random (No Terminate),0.1,72,1.0
,Random (No Terminate),0.1,65,1.0
,Random (No Terminate),0.1,72,0.0
,Random (No Terminate),0.1,58,0.0
,Random (No Terminate),0.1,72,3.0
,Random (No Terminate),0.1,72,3.0
,Random (No Terminate),0.1,72,1.0
,Random (No Terminate),0.1,87,1.0
,Random (No Terminate),0.1,87,3.0
,Random (No Terminate),0.1,72,-3.0
,Random (No Terminate),0.1,144,2.0
,Random (No Terminate),0.1,420,31.0
,Random (No Terminate),0.1,123,1.0
,Random (No Terminate),0.1,87,2.0
,Random (No Terminate),0.1,152,7.0
,Random (No Terminate),0.1,72,1.0
,Random (No Terminate),0.1,137,5.0
,Random (No Terminate),0.1,155,4.0
,Random (No Terminate),0.1,77,2.0
,Random (No Terminate),0.1,80,1.0
,Random (No Terminate),0.1,80,1.0
,Random (No Terminate),0.1,65,3.0
,Random (No Terminate),0.1,80,1.0
,Random (No Terminate),0.1,87,2.0
,Random (No Terminate),0.1,94,0.0
,Random (No Terminate),0.1,72,2.0
,Random (No Terminate),0.1,144,4.0
,Random (No Terminate),0.1,144,4.0
,Random (No Terminate),0.1,87,2.0
,Random (No Terminate),0.1,44,1.0
,Random (No Terminate),0.1,44,-3.0
,Random (No Terminate),0.1,267,7.0
,Random (No Terminate),0.1,116,6.0
,Random (No Terminate),0.1,87,0.0
