Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Instant Terminate,0.5,291,40.0
,Instant Terminate,0.5,60,6.0
,Instant Terminate,0.5,245,21.0
,Instant Terminate,0.5,328,47.0
,Instant Terminate,0.5,322,22.0
,Instant Terminate,0.5,433,41.0
,Instant Terminate,0.5,23,0.0
,Instant Terminate,0.5,500,50.0
,Instant Terminate,0.5,26,1.0
,Instant Terminate,0.5,44,3.0
,Instant Terminate,0.5,87,11.0
,Instant Terminate,0.5,120,13.0
,Instant Terminate,0.5,264,18.0
,Instant Terminate,0.5,74,6.0
,Instant Terminate,0.5,3,0.0
,Instant Terminate,0.5,67,7.0
,Instant Terminate,0.5,29,2.0
,Instant Terminate,0.5,482,80.0
,Instant Terminate,0.5,38,0.0
,Instant Terminate,0.5,51,5.0
,Instant Terminate,0.5,483,55.0
,Instant Terminate,0.5,16,2.0
,Instant Terminate,0.5,101,4.0
,Instant Terminate,0.5,420,80.0
,Instant Terminate,0.5,8,1.0
,Instant Terminate,0.5,136,14.0
,Instant Terminate,0.5,139,12.0
,Instant Terminate,0.5,280,44.0
,Instant Terminate,0.5,38,0.0
,Instant Terminate,0.5,283,27.0
,Instant Terminate,0.5,52,2.0
,Instant Terminate,0.5,332,45.0
,Instant Terminate,0.5,197,18.0
,Instant Terminate,0.5,240,10.0
,Instant Terminate,0.5,72,3.0
,Instant Terminate,0.5,1,0.0
,Instant Terminate,0.5,23,2.0
,Instant Terminate,0.5,260,31.0
,Instant Terminate,0.5,436,55.0
,Instant Terminate,0.5,500,62.0
,Instant Terminate,0.5,116,7.0
,Instant Terminate,0.5,48,3.0
,Instant Terminate,0.5,360,48.0
,Instant Terminate,0.5,58,4.0
,Instant Terminate,0.5,407,66.0
,Instant Terminate,0.5,500,82.0
,Instant Terminate,0.5,176,40.0
,Instant Terminate,0.75,26,1.0
,Instant Terminate,0.75,27,4.0
,Instant Terminate,0.75,49,5.0
,Instant Terminate,0.75,94,8.0
,Instant Terminate,0.75,191,27.0
,Instant Terminate,0.75,194,20.0
,Instant Terminate,0.75,147,14.0
,Instant Terminate,0.75,234,40.0
,Instant Terminate,0.75,25,3.0
,Instant Terminate,0.75,78,6.0
,Instant Terminate,0.75,285,19.0
,Instant Terminate,0.75,45,2.0
,Instant Terminate,0.75,303,17.0
,Instant Terminate,0.75,49,5.0
,Instant Terminate,0.75,102,11.0
,Instant Terminate,0.75,150,10.0
,Instant Terminate,0.75,300,40.0
,Instant Terminate,0.75,500,57.0
,Instant Terminate,0.75,272,40.0
,Instant Terminate,0.75,500,86.0
,Instant Terminate,0.75,33,5.0
,Instant Terminate,0.75,170,17.0
,Instant Terminate,0.75,160,16.0
,Instant Terminate,0.75,408,48.0
,Instant Terminate,0.75,276,40.0
,Instant Terminate,0.75,167,20.0
,Instant Terminate,0.75,500,50.0
,Instant Terminate,0.75,500,90.0
,Instant Terminate,0.75,109,7.0
,Instant Terminate,0.75,18,0.0
,Instant Terminate,0.75,26,1.0
,Instant Terminate,0.75,13,2.0
,Instant Terminate,0.75,500,44.0
,Instant Terminate,0.75,40,2.0
,Instant Terminate,0.75,287,35.0
,Instant Terminate,0.75,17,1.0
,Instant Terminate,0.75,12,1.0
,Instant Terminate,0.75,200,20.0
,Instant Terminate,0.75,9,1.0
,Instant Terminate,0.75,22,1.0
,Instant Terminate,0.75,412,53.0
,Instant Terminate,0.75,500,73.0
,Instant Terminate,0.75,361,49.0
,Instant Terminate,0.75,85,8.0
,Instant Terminate,0.75,500,58.0
,Instant Terminate,0.75,36,3.0
,Instant Terminate,0.75,278,47.0
,Instant Terminate,0.75,252,28.0
,Instant Terminate,0.75,252,40.0
,Instant Terminate,0.75,97,7.0
,Instant Terminate,0.75,142,17.0
,Instant Terminate,0.75,126,17.0
,Instant Terminate,0.75,104,7.0
,Instant Terminate,0.75,89,9.0
,Instant Terminate,0.75,495,71.0
,Instant Terminate,0.75,500,62.0
,Instant Terminate,0.75,47,3.0
,Instant Terminate,0.75,37,4.0
,Instant Terminate,0.75,101,3.0
,Instant Terminate,0.75,175,40.0
,Instant Terminate,0.75,72,9.0
,Instant Terminate,0.75,500,68.0
,Instant Terminate,0.75,68,4.0
,Instant Terminate,0.75,500,71.0
,Instant Terminate,0.75,500,91.0
,Instant Terminate,0.75,131,16.0
,Instant Terminate,0.75,102,9.0
,Instant Terminate,0.75,119,10.0
,Instant Terminate,0.75,301,46.0
,Instant Terminate,0.75,178,40.0
,Instant Terminate,0.75,55,4.0
,Instant Terminate,0.75,500,43.0
,Instant Terminate,0.75,500,62.0
,Instant Terminate,0.75,238,40.0
,Instant Terminate,0.75,138,8.0
,Instant Terminate,0.75,111,10.0
,Instant Terminate,0.75,500,62.0
,Instant Terminate,0.75,185,40.0
,Instant Terminate,0.75,244,40.0
,Instant Terminate,0.75,317,54.0
,Instant Terminate,0.75,220,18.0
,Instant Terminate,0.75,471,53.0
,Instant Terminate,0.75,397,51.0
,Instant Terminate,0.75,500,57.0
,Instant Terminate,0.75,264,40.0
,Instant Terminate,0.75,168,14.0
,Instant Terminate,0.75,500,67.0
,Instant Terminate,0.75,138,8.0
,Instant Terminate,0.75,72,7.0
,Instant Terminate,0.75,45,4.0
,Instant Terminate,0.75,422,67.0
,Instant Terminate,0.75,102,5.0
,Instant Terminate,0.75,372,62.0
,Instant Terminate,0.75,397,67.0
,Instant Terminate,0.75,284,42.0
,Instant Terminate,0.75,157,18.0
,Instant Terminate,0.75,373,46.0
,Instant Terminate,0.75,472,46.0
,Instant Terminate,0.75,116,16.0
,Instant Terminate,0.75,367,49.0
,Instant Terminate,0.9,16,2.0
,Instant Terminate,0.9,55,1.0
,Instant Terminate,0.9,177,40.0
,Instant Terminate,0.9,187,40.0
,Instant Terminate,0.9,57,6.0
,Instant Terminate,0.9,34,1.0
,Instant Terminate,0.9,103,15.0
,Instant Terminate,0.9,293,49.0
,Instant Terminate,0.9,43,1.0
,Instant Terminate,0.9,106,6.0
,Instant Terminate,0.9,201,40.0
,Instant Terminate,0.9,500,67.0
,Instant Terminate,0.9,500,83.0
,Instant Terminate,0.9,500,91.0
,Instant Terminate,0.9,500,88.0
,Instant Terminate,0.9,28,4.0
,Instant Terminate,0.9,500,57.0
,Instant Terminate,0.9,77,4.0
,Instant Terminate,0.9,86,12.0
,Instant Terminate,0.9,158,40.0
,Instant Terminate,0.9,25,4.0
,Instant Terminate,0.9,328,48.0
,Instant Terminate,0.9,43,2.0
,Instant Terminate,0.9,57,8.0
,Instant Terminate,0.9,173,28.0
,Instant Terminate,0.9,221,40.0
,Instant Terminate,0.9,112,15.0
,Instant Terminate,0.9,185,16.0
,Instant Terminate,0.9,17,1.0
,Instant Terminate,0.9,298,46.0
,Instant Terminate,0.9,81,12.0
,Instant Terminate,0.9,317,47.0
,Instant Terminate,0.9,11,1.0
,Instant Terminate,0.9,271,58.0
,Instant Terminate,0.9,392,84.0
,Instant Terminate,0.9,427,46.0
,Instant Terminate,0.9,116,20.0
,Instant Terminate,0.9,86,8.0
,Instant Terminate,0.9,134,18.0
,Instant Terminate,0.9,334,48.0
,Instant Terminate,0.9,20,2.0
,Instant Terminate,0.9,27,0.0
,Instant Terminate,0.9,149,40.0
,Instant Terminate,0.9,21,2.0
,Instant Terminate,0.9,500,78.0
,Instant Terminate,0.9,214,40.0
,Instant Terminate,0.9,470,92.0
,Instant Terminate,0.9,180,48.0
,Instant Terminate,0.9,154,40.0
,Instant Terminate,0.9,30,2.0
,Instant Terminate,0.9,162,13.0
,Instant Terminate,0.9,232,26.0
,Instant Terminate,0.9,231,47.0
,Instant Terminate,0.9,96,10.0
,Instant Terminate,0.9,500,81.0
,Instant Terminate,0.9,278,39.0
,Instant Terminate,0.9,500,78.0
,Instant Terminate,0.9,123,22.0
,Instant Terminate,0.9,152,40.0
,Instant Terminate,0.9,294,43.0
,Instant Terminate,0.9,44,0.0
,Instant Terminate,0.9,500,84.0
,Instant Terminate,0.9,328,50.0
,Instant Terminate,0.9,500,64.0
,Instant Terminate,0.9,500,70.0
,Instant Terminate,0.9,64,3.0
,Instant Terminate,0.9,84,3.0
,Instant Terminate,0.9,139,40.0
,Instant Terminate,0.9,219,29.0
,Instant Terminate,0.9,500,78.0
,Instant Terminate,0.9,220,25.0
,Instant Terminate,0.9,500,89.0
,Instant Terminate,0.9,438,62.0
,Instant Terminate,0.9,104,5.0
,Instant Terminate,0.9,70,6.0
,Instant Terminate,0.9,500,68.0
,Instant Terminate,0.9,500,57.0
,Instant Terminate,0.9,177,40.0
,Instant Terminate,0.9,481,71.0
,Instant Terminate,0.9,176,22.0
,Instant Terminate,0.9,50,6.0
,Instant Terminate,0.9,50,4.0
,Instant Terminate,0.9,81,6.0
,Instant Terminate,0.9,274,47.0
,Instant Terminate,0.9,431,82.0
,Instant Terminate,0.9,216,40.0
,Instant Terminate,0.9,291,41.0
,Instant Terminate,0.9,374,48.0
,Instant Terminate,0.9,500,69.0
,Instant Terminate,0.9,309,21.0
,Instant Terminate,0.9,57,5.0
,Instant Terminate,0.9,173,40.0
,Instant Terminate,0.9,146,28.0
,Instant Terminate,0.9,318,59.0
,Instant Terminate,0.9,416,67.0
,Instant Terminate,0.9,56,3.0
,Instant Terminate,0.9,500,109.0
,Instant Terminate,0.9,62,10.0
,Instant Terminate,0.9,206,23.0
,Instant Terminate,0.9,404,84.0
,AStar,0.9,500,128.0
,AStar,0.9,500,103.0
,AStar,0.9,500,105.0
,AStar,0.9,500,129.0
,AStar,0.9,500,102.0
,AStar,0.9,500,123.0
,AStar,0.9,500,127.0
,AStar,0.9,500,126.0
,AStar,0.9,500,108.0
,AStar,0.9,500,124.0
,AStar,0.9,500,78.0
,AStar,0.9,500,123.0
,AStar,0.9,500,131.0
,AStar,0.9,500,120.0
,AStar,0.9,500,101.0
,AStar,0.9,500,104.0
,AStar,0.9,500,89.0
,AStar,0.9,500,122.0
,AStar,0.9,500,110.0
,AStar,0.9,500,120.0
,AStar,0.9,500,111.0
,AStar,0.9,500,165.0
,AStar,0.9,500,113.0
,AStar,0.9,500,135.0
,Random (No Terminate),0.9,500,98.0
,Random (No Terminate),0.9,500,97.0
,Random (No Terminate),0.9,500,123.0
,Random (No Terminate),0.9,500,78.0
,Random (No Terminate),0.9,500,115.0
,Random (No Terminate),0.9,500,126.0
,Random (No Terminate),0.9,500,88.0
,Random (No Terminate),0.9,500,133.0
,Random (No Terminate),0.9,470,98.0
,Random (No Terminate),0.9,500,116.0
,Random (No Terminate),0.9,500,74.0
,Random (No Terminate),0.9,500,106.0
,Random (No Terminate),0.9,500,102.0
,Random (No Terminate),0.9,500,127.0
,Random (No Terminate),0.9,500,102.0
,Random (No Terminate),0.9,500,110.0
,Random (No Terminate),0.9,353,62.0
,Random (No Terminate),0.9,378,86.0
,Random (No Terminate),0.9,500,116.0
,Random (No Terminate),0.9,500,106.0
,Random (No Terminate),0.9,500,96.0
,Random (No Terminate),0.9,500,105.0
,Random (No Terminate),0.9,500,127.0
,Random (No Terminate),0.25,196,44.0
,Random (No Terminate),0.25,431,69.0
,Random (No Terminate),0.25,500,101.0
,Random (No Terminate),0.25,500,108.0
,Random (No Terminate),0.25,500,96.0
,Random (No Terminate),0.25,500,70.0
,Random (No Terminate),0.25,500,106.0
,Random (No Terminate),0.25,500,101.0
,Random (No Terminate),0.25,34,5.0
,Random (No Terminate),0.25,500,97.0
,Random (No Terminate),0.25,500,102.0
,Random (No Terminate),0.25,259,54.0
,Random (No Terminate),0.25,500,102.0
,Random (No Terminate),0.25,500,75.0
,Random (No Terminate),0.25,500,98.0
,Random (No Terminate),0.25,500,114.0
,Random (No Terminate),0.25,500,102.0
,Random (No Terminate),0.25,500,77.0
,Random (No Terminate),0.25,500,62.0
,Random (No Terminate),0.25,500,99.0
,Random (No Terminate),0.5,500,127.0
,Random (No Terminate),0.5,500,78.0
,Random (No Terminate),0.5,500,120.0
,Random (No Terminate),0.5,500,94.0
,Random (No Terminate),0.5,500,93.0
,Random (No Terminate),0.5,500,120.0
,Random (No Terminate),0.5,500,98.0
,Random (No Terminate),0.5,500,120.0
,AStar,0.5,500,126.0
,AStar,0.5,500,96.0
,AStar,0.5,500,120.0
,AStar,0.5,500,82.0
,AStar,0.5,500,128.0
,AStar,0.5,500,97.0
,AStar,0.5,500,99.0
,AStar,0.5,500,97.0
,AStar,0.5,500,96.0
,AStar,0.5,500,100.0
,AStar,0.5,500,94.0
,AStar,0.5,500,109.0
,AStar,0.5,500,98.0
,AStar,0.5,500,94.0
,AStar,0.5,500,98.0
,AStar,0.5,500,87.0
,AStar,0.5,215,41.0
,AStar,0.5,500,121.0
,AStar,0.5,500,121.0
,AStar,0.5,500,130.0
,AStar,0.5,500,92.0
,AStar,0.5,500,100.0
,AStar,0.5,500,104.0
,AStar,0.5,500,134.0
,AStar,0.75,500,124.0
,AStar,0.75,500,131.0
,AStar,0.75,500,121.0
,AStar,0.75,500,104.0
,AStar,0.75,500,124.0
