Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Random (No Terminate),1.0,29,0.0
,Random (No Terminate),1.0,37,0.0
,Random (No Terminate),1.0,44,-1.0
,Random (No Terminate),1.0,44,1.0
,Random (No Terminate),1.0,51,2.0
,Random (No Terminate),1.0,55,2.0
,Random (No Terminate),1.0,58,-4.0
,Random (No Terminate),1.0,58,1.0
,Random (No Terminate),1.0,58,2.0
,Random (No Terminate),1.0,58,1.0
,Random (No Terminate),1.0,58,0.0
,Random (No Terminate),1.0,58,1.0
,Random (No Terminate),1.0,58,2.0
,Random (No Terminate),1.0,58,1.0
,Random (No Terminate),1.0,65,1.0
,Random (No Terminate),1.0,65,1.0
,Random (No Terminate),1.0,65,3.0
,Random (No Terminate),1.0,69,2.0
,Random (No Terminate),1.0,72,1.0
,Random (No Terminate),1.0,72,0.0
,Random (No Terminate),1.0,72,2.0
,Random (No Terminate),1.0,72,2.0
,Random (No Terminate),1.0,72,1.0
,Random (No Terminate),1.0,72,0.0
,Random (No Terminate),1.0,72,4.0
,Random (No Terminate),1.0,72,1.0
,Random (No Terminate),1.0,72,0.0
,Random (No Terminate),1.0,72,0.0
,Random (No Terminate),1.0,80,1.0
,Random (No Terminate),1.0,80,1.0
,Random (No Terminate),1.0,80,2.0
,Random (No Terminate),1.0,87,2.0
,Random (No Terminate),1.0,87,1.0
,Random (No Terminate),1.0,87,1.0
,Random (No Terminate),1.0,87,-1.0
,Random (No Terminate),1.0,87,1.0
,Random (No Terminate),1.0,87,0.0
,Random (No Terminate),1.0,87,1.0
,Random (No Terminate),1.0,94,1.0
,Random (No Terminate),1.0,94,3.0
,Random (No Terminate),1.0,94,-2.0
,Random (No Terminate),1.0,94,3.0
,Random (No Terminate),1.0,101,1.0
,Random (No Terminate),1.0,101,2.0
,Random (No Terminate),1.0,108,3.0
,Random (No Terminate),1.0,130,6.0
,Random (No Terminate),1.0,130,3.0
,Random (No Terminate),1.0,144,5.0
,Random (No Terminate),1.0,159,5.0
,Random (No Terminate),1.0,159,3.0
,Random (No Terminate),1.0,159,-3.0
,Random (No Terminate),1.0,166,6.0
,Random (No Terminate),1.0,166,3.0
,Random (No Terminate),1.0,180,2.0
,Random (No Terminate),1.0,188,0.0
,Random (No Terminate),1.0,188,4.0
,Random (No Terminate),1.0,191,4.0
,Random (No Terminate),1.0,202,6.0
,Random (No Terminate),1.0,216,5.0
,Random (No Terminate),1.0,223,1.0
,Random (No Terminate),1.0,245,1.0
,Random (No Terminate),1.0,245,4.0
,Random (No Terminate),1.0,281,-1.0
,Random (No Terminate),1.0,396,5.0
,AStar,1.0,37,3.0
,AStar,1.0,37,0.0
,AStar,1.0,37,3.0
,AStar,1.0,37,2.0
,AStar,1.0,44,0.0
,AStar,1.0,44,0.0
,AStar,1.0,51,1.0
,AStar,1.0,51,0.0
,AStar,1.0,58,2.0
,AStar,1.0,65,2.0
,AStar,1.0,65,2.0
