Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Instant Terminate,0.05,8,1.0
,Instant Terminate,0.05,21,1.0
,Instant Terminate,0.05,13,0.0
,Instant Terminate,0.05,50,4.0
,Instant Terminate,0.05,35,1.0
,Instant Terminate,0.05,61,1.0
,Instant Terminate,0.05,21,0.0
,Instant Terminate,0.05,93,7.0
,Instant Terminate,0.05,15,1.0
,Instant Terminate,0.05,99,8.0
,Instant Terminate,0.05,45,3.0
,Instant Terminate,0.05,116,9.0
,Instant Terminate,0.05,70,2.0
,Instant Terminate,0.05,26,1.0
,Instant Terminate,0.05,28,4.0
,Instant Terminate,0.05,182,10.0
,Instant Terminate,0.05,87,11.0
,Instant Terminate,0.05,89,8.0
,Instant Terminate,0.05,22,1.0
,Instant Terminate,0.05,190,24.0
,AStar,0.05,500,81.0
,AStar,0.05,500,99.0
,AStar,0.05,500,73.0
,AStar,0.05,500,101.0
,AStar,0.05,500,101.0
,AStar,0.05,500,98.0
,AStar,0.05,500,105.0
,AStar,0.05,500,85.0
,AStar,0.05,474,71.0
,AStar,0.05,500,87.0
,AStar,0.05,500,83.0
,AStar,0.05,500,93.0
,AStar,0.05,500,108.0
,AStar,0.05,500,91.0
,AStar,0.05,500,89.0
,AStar,0.05,500,103.0
,AStar,0.05,136,40.0
,AStar,0.05,233,32.0
,AStar,0.05,334,53.0
,AStar,0.05,500,90.0
,AStar,0.05,500,86.0
,AStar,0.05,500,71.0
,AStar,0.05,500,101.0
,AStar,0.05,500,109.0
,Random (No Terminate),0.05,302,56.0
,Random (No Terminate),0.05,500,86.0
,Random (No Terminate),0.05,500,76.0
,Random (No Terminate),0.05,500,100.0
,Random (No Terminate),0.05,500,130.0
,Random (No Terminate),0.05,500,98.0
,Random (No Terminate),0.05,500,79.0
,Random (No Terminate),0.05,500,88.0
,Random (No Terminate),0.05,500,87.0
,Random (No Terminate),0.05,500,100.0
,Random (No Terminate),0.05,500,77.0
,Random (No Terminate),0.05,500,92.0
,Random (No Terminate),0.05,500,101.0
,Random (No Terminate),0.05,500,99.0
,Random (No Terminate),0.05,500,102.0
,Random (No Terminate),0.05,500,114.0
,Random (No Terminate),0.05,500,102.0
,Random (No Terminate),0.05,307,33.0
,Random (No Terminate),0.05,500,83.0
,Random (No Terminate),0.05,500,98.0
,Random (No Terminate),0.05,500,92.0
,Random (No Terminate),0.05,500,107.0
,Random (No Terminate),0.05,500,78.0
,Random (No Terminate),0.05,500,101.0

