Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,AStar,1.0,44,1.0
,AStar,1.0,51,0.0
,AStar,1.0,51,1.0
,AStar,1.0,51,1.0
,AStar,1.0,51,1.0
,AStar,1.0,51,2.0
,AStar,1.0,51,0.0
,AStar,1.0,58,0.0
,AStar,1.0,58,0.0
,AStar,1.0,58,1.0
,AStar,1.0,58,0.0
,AStar,1.0,58,1.0
,AStar,1.0,65,1.0
,AStar,1.0,65,4.0
,AStar,1.0,65,3.0
,AStar,1.0,65,0.0
,AStar,1.0,65,1.0
,AStar,1.0,65,3.0
,AStar,1.0,65,2.0
,AStar,1.0,65,1.0
,AStar,1.0,65,0.0
,AStar,1.0,72,1.0
,AStar,1.0,72,1.0
,AStar,1.0,72,2.0
,AStar,1.0,80,0.0
,AStar,1.0,80,1.0
,AStar,1.0,80,-3.0
,AStar,1.0,80,0.0
,AStar,1.0,87,0.0
,AStar,1.0,87,3.0
,AStar,1.0,87,0.0
,AStar,1.0,87,2.0
,AStar,1.0,87,0.0
,AStar,1.0,87,2.0
,AStar,1.0,94,0.0
,AStar,1.0,51,1.0
,AStar,1.0,101,1.0
,AStar,1.0,101,-3.0
,AStar,1.0,101,1.0
,AStar,1.0,108,1.0
,AStar,1.0,108,3.0
,AStar,1.0,65,2.0
,AStar,1.0,65,2.0
,AStar,1.0,65,0.0
,AStar,1.0,116,-4.0
,AStar,1.0,116,3.0
,AStar,1.0,116,-2.0
,AStar,1.0,123,0.0
,AStar,1.0,65,0.0
,AStar,1.0,58,0.0
,AStar,1.0,65,1.0
,AStar,1.0,87,3.0
,AStar,1.0,72,1.0
,AStar,1.0,72,0.0
,AStar,1.0,80,6.0
,AStar,1.0,58,2.0
,AStar,1.0,137,1.0
,AStar,1.0,144,4.0
,AStar,1.0,87,1.0
,AStar,1.0,144,1.0
,AStar,1.0,144,4.0
,AStar,1.0,87,-3.0
,AStar,1.0,65,0.0
,AStar,1.0,72,0.0
,AStar,1.0,152,3.0
,AStar,1.0,152,1.0
,AStar,1.0,152,4.0
,AStar,1.0,152,4.0
,AStar,1.0,37,1.0
,AStar,1.0,51,1.0
,AStar,1.0,65,0.0
,AStar,1.0,58,2.0
,AStar,1.0,94,5.0
,AStar,1.0,166,6.0
,AStar,1.0,101,4.0
,AStar,1.0,173,4.0
,AStar,1.0,173,2.0
,AStar,1.0,94,3.0
,AStar,1.0,72,3.0
,AStar,1.0,137,1.0
,AStar,1.0,80,2.0
,AStar,1.0,44,1.0
,AStar,1.0,80,3.0
,AStar,1.0,65,2.0
,AStar,1.0,159,2.0
,AStar,1.0,51,2.0
,AStar,1.0,65,1.0
,AStar,1.0,51,0.0
,AStar,1.0,216,2.0
,AStar,1.0,216,2.0
,AStar,1.0,216,5.0
,AStar,1.0,58,2.0
,AStar,1.0,130,2.0
,AStar,1.0,144,6.0
,AStar,1.0,166,2.0
,AStar,1.0,87,1.0
,AStar,1.0,58,0.0
,AStar,1.0,80,0.0
,AStar,1.0,65,1.0
,AStar,1.0,173,4.0
,AStar,1.0,101,3.0
,AStar,1.0,116,0.0
,AStar,1.0,144,-2.0
,AStar,1.0,116,2.0
,AStar,1.0,130,0.0
,AStar,1.0,94,1.0
,AStar,1.0,87,2.0
,AStar,1.0,51,1.0
,AStar,1.0,245,0.0
,AStar,1.0,159,-2.0
,AStar,1.0,80,4.0
,AStar,1.0,44,2.0
,AStar,1.0,188,3.0
,AStar,1.0,94,1.0
,AStar,1.0,259,4.0
,AStar,1.0,159,4.0
,AStar,1.0,195,1.0
,AStar,1.0,116,1.0
,AStar,1.0,58,1.0
,AStar,1.0,130,2.0
,AStar,1.0,152,2.0
,AStar,1.0,267,2.0
,AStar,1.0,87,2.0
,AStar,1.0,58,2.0
,AStar,1.0,80,0.0
,AStar,1.0,80,3.0
,AStar,1.0,80,2.0
,AStar,1.0,202,1.0
,AStar,1.0,231,3.0
,AStar,1.0,288,10.0
,AStar,1.0,72,-7.0
,AStar,1.0,108,3.0
,AStar,1.0,58,2.0
,AStar,1.0,58,1.0
,AStar,1.0,295,5.0
,AStar,1.0,144,5.0
,AStar,1.0,173,4.0
,AStar,1.0,202,7.0
,AStar,1.0,152,4.0
,AStar,1.0,72,1.0
,AStar,1.0,65,2.0
,AStar,1.0,72,1.0
,AStar,1.0,87,1.0
,AStar,1.0,94,0.0
,AStar,1.0,223,2.0
,AStar,1.0,58,0.0
,AStar,1.0,173,2.0
,AStar,1.0,180,3.0
,AStar,1.0,231,3.0
,AStar,1.0,72,2.0
,AStar,1.0,87,0.0
,AStar,1.0,80,-4.0
,AStar,1.0,80,0.0
,AStar,1.0,87,-2.0
,AStar,1.0,101,1.0
,AStar,1.0,87,0.0
,AStar,1.0,72,3.0
,AStar,1.0,137,0.0
,AStar,1.0,202,-3.0
,AStar,1.0,245,9.0
,AStar,1.0,267,5.0
,AStar,1.0,80,4.0
,AStar,1.0,80,-4.0
,AStar,1.0,281,7.0
,AStar,1.0,58,2.0
