Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Random (No Terminate),0.1,6,10.0
,Random (No Terminate),0.1,7,10.0
,Random (No Terminate),0.1,7,10.0
,Random (No Terminate),0.1,8,10.0
,Random (No Terminate),0.1,15,10.0
,Random (No Terminate),0.1,34,10.0
,Random (No Terminate),0.1,46,10.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.1,100,0.0
,Random (No Terminate),0.25,9,10.0
,Random (No Terminate),0.25,10,10.0
,Random (No Terminate),0.25,9,10.0
,Random (No Terminate),0.25,10,10.0
,Random (No Terminate),0.25,61,10.0
