Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Instant Terminate,0.75,47,3.0
Instant Terminate,0.75,37,4.0
Instant Terminate,0.75,101,3.0
Instant Terminate,0.75,175,40.0
Instant Terminate,0.75,72,9.0
Instant Terminate,0.75,500,68.0
Instant Terminate,0.75,68,4.0
Instant Terminate,0.75,500,71.0
Instant Terminate,0.75,500,91.0
Instant Terminate,0.75,131,16.0
Instant Terminate,0.75,102,9.0
Instant Terminate,0.75,119,10.0
Instant Terminate,0.75,301,46.0
Instant Terminate,0.75,178,40.0
Instant Terminate,0.75,55,4.0
Instant Terminate,0.75,500,43.0
Instant Terminate,0.75,500,62.0
Instant Terminate,0.75,238,40.0
Instant Terminate,0.75,138,8.0
Instant Terminate,0.75,111,10.0
Instant Terminate,0.75,500,62.0
Instant Terminate,0.75,185,40.0
Instant Terminate,0.75,244,40.0
Instant Terminate,0.75,317,54.0
Instant Terminate,0.75,220,18.0
Instant Terminate,0.75,471,53.0
Instant Terminate,0.75,397,51.0
Instant Terminate,0.75,500,57.0
Instant Terminate,0.75,264,40.0
Instant Terminate,0.75,168,14.0
Instant Terminate,0.75,500,67.0
Instant Terminate,0.75,138,8.0
Instant Terminate,0.75,72,7.0
Instant Terminate,0.75,45,4.0
Instant Terminate,0.75,422,67.0
Instant Terminate,0.75,102,5.0
Instant Terminate,0.75,372,62.0
Instant Terminate,0.75,397,67.0
Instant Terminate,0.75,284,42.0
Instant Terminate,0.75,157,18.0
Instant Terminate,0.75,373,46.0
Instant Terminate,0.75,472,46.0
Instant Terminate,0.75,116,16.0
Instant Terminate,0.75,367,49.0
AStar,0.75,134,40.0
AStar,0.75,138,40.0
AStar,0.75,199,47.0
AStar,0.75,285,80.0
AStar,0.75,158,40.0
AStar,0.75,32,3.0
AStar,0.75,188,41.0
AStar,0.75,436,83.0
AStar,0.75,500,111.0
AStar,0.75,500,90.0
AStar,0.75,500,101.0
AStar,0.75,119,40.0
AStar,0.75,9,1.0
AStar,0.75,500,120.0
AStar,0.75,138,40.0
AStar,0.75,317,80.0
AStar,0.75,179,40.0
AStar,0.75,167,40.0
AStar,0.75,117,40.0
AStar,0.75,500,121.0
AStar,0.75,166,41.0
AStar,0.75,160,42.0
AStar,0.75,381,85.0
AStar,0.75,345,80.0
AStar,0.75,162,40.0
AStar,0.75,179,40.0
AStar,0.75,146,40.0
AStar,0.75,202,40.0
AStar,0.75,161,40.0
AStar,0.75,204,45.0
AStar,0.75,168,40.0
AStar,0.75,125,40.0
AStar,0.75,166,40.0
AStar,0.75,305,81.0
AStar,0.75,46,8.0
AStar,0.75,179,40.0
AStar,0.75,16,1.0
AStar,0.75,150,40.0
AStar,0.75,285,80.0
AStar,0.75,160,40.0
AStar,0.75,500,104.0
AStar,0.75,500,128.0
AStar,0.75,29,4.0
AStar,0.75,328,80.0
AStar,0.75,406,94.0
AStar,0.75,500,125.0
AStar,0.75,212,40.0
AStar,0.75,48,7.0
AStar,0.75,255,80.0
AStar,0.75,5,0.0
AStar,0.75,206,40.0
AStar,0.75,359,80.0
AStar,0.75,178,40.0
AStar,0.75,203,40.0
AStar,0.75,306,80.0
AStar,0.75,500,107.0
AStar,0.75,310,82.0
AStar,0.75,129,40.0
AStar,0.75,59,4.0
AStar,0.75,133,19.0
AStar,0.75,163,40.0
AStar,0.75,474,120.0
AStar,0.75,474,121.0
AStar,0.75,195,43.0
AStar,0.75,500,124.0
AStar,0.75,275,61.0
AStar,0.75,165,40.0
AStar,0.75,110,40.0
AStar,0.75,124,40.0
AStar,0.75,350,80.0
AStar,0.75,344,86.0
AStar,0.75,14,0.0
AStar,0.75,287,80.0
AStar,0.75,500,102.0
AStar,0.75,336,83.0
AStar,0.75,31,3.0
AStar,0.75,184,41.0
AStar,0.75,495,120.0
AStar,0.75,14,2.0
AStar,0.75,371,84.0
AStar,0.75,130,40.0
AStar,0.75,500,97.0
AStar,0.75,3,1.0
AStar,0.75,432,120.0
AStar,0.75,302,81.0
AStar,0.75,161,40.0
AStar,0.75,375,83.0
AStar,0.75,162,40.0
AStar,0.75,17,1.0
AStar,0.75,500,101.0
AStar,0.75,185,40.0
AStar,0.75,359,88.0
AStar,0.75,5,1.0
AStar,0.75,12,0.0
AStar,0.75,23,3.0
AStar,0.75,500,103.0
AStar,0.75,271,80.0
AStar,0.75,235,40.0
AStar,0.75,165,40.0
AStar,0.75,26,2.0
Random,0.75,5,0.0
Random,0.75,23,1.0
Random,0.75,43,4.0
Random,0.75,43,3.0
Random,0.75,11,0.0
Random,0.75,43,2.0
Random,0.75,124,9.0
Random,0.75,215,42.0
Random,0.75,276,33.0
Random,0.75,313,64.0
Random,0.75,371,67.0
Random,0.75,12,0.0
Random,0.75,152,11.0
Random,0.75,463,120.0
Random,0.75,500,89.0
Random,0.75,161,40.0
Random,0.75,500,73.0
Random,0.75,0,0.0
Random,0.75,500,56.0
Random,0.75,437,80.0
Random,0.75,395,80.0
Random,0.75,7,0.0
Random,0.75,189,40.0
Random,0.75,167,17.0
Random,0.75,133,14.0
Random,0.75,468,78.0
Random,0.75,191,40.0
Random,0.75,440,82.0
Random,0.75,500,99.0
Random,0.75,500,85.0
Random,0.75,216,43.0
Random,0.75,206,40.0
Random,0.75,500,100.0
Random,0.75,304,47.0
Random,0.75,133,11.0
Random,0.75,226,42.0
Random,0.75,469,88.0
Random,0.75,500,84.0
Random,0.75,122,13.0
Random,0.75,60,4.0
Random,0.75,184,40.0
Random,0.75,337,53.0
Random,0.75,425,85.0
Random,0.75,210,40.0
Random,0.75,34,4.0
Random,0.75,500,75.0
Random,0.75,20,2.0
Random,0.75,14,0.0
Random,0.75,465,51.0
Random,0.75,169,40.0
Random,0.75,474,81.0
Random,0.75,254,47.0
Random,0.75,215,24.0
Random,0.75,500,82.0
Random,0.75,500,95.0
Random,0.75,500,108.0
Random,0.75,500,88.0
Random,0.75,168,22.0
Random,0.75,35,4.0
Random,0.75,414,42.0
Random,0.75,16,0.0
Random,0.75,27,2.0
Random,0.75,275,43.0
Random,0.75,436,80.0
Random,0.75,500,101.0
Random,0.75,76,5.0
Random,0.75,362,61.0
Random,0.75,171,31.0
Random,0.75,133,40.0
Random,0.75,374,53.0
Random,0.75,318,51.0
Random,0.75,500,108.0
Random,0.75,168,42.0
Random,0.75,500,92.0
Random,0.75,309,46.0
Random,0.75,181,41.0
Random,0.75,152,40.0
Random,0.75,309,57.0
Random,0.75,194,40.0
Random,0.75,17,2.0
Random,0.75,74,6.0
Random,0.75,28,3.0
Random,0.75,494,90.0
Random,0.75,325,48.0
Random,0.75,419,84.0
Random,0.75,368,56.0
Random,0.75,122,15.0
Random,0.75,193,40.0
Random,0.75,187,40.0
Random,0.75,500,93.0
Random,0.75,69,8.0
Random,0.75,159,44.0
Random,0.75,500,52.0
Random,0.75,186,19.0
Random,0.75,238,31.0
Random,0.75,500,92.0
Random,0.75,192,40.0
Random,0.75,13,2.0
Random,0.75,39,1.0
Random,0.75,340,45.0
Random (No Terminate),0.75,4,0.0
Random (No Terminate),0.75,152,40.0
Random (No Terminate),0.75,164,40.0
Random (No Terminate),0.75,170,45.0
Random (No Terminate),0.75,296,66.0
Random (No Terminate),0.75,200,43.0
Random (No Terminate),0.75,421,120.0
Random (No Terminate),0.75,498,97.0
Random (No Terminate),0.75,500,128.0
Random (No Terminate),0.75,500,96.0
Random (No Terminate),0.75,375,80.0
Random (No Terminate),0.75,385,81.0
Random (No Terminate),0.75,236,41.0
Random (No Terminate),0.75,158,40.0
Random (No Terminate),0.75,242,40.0
Random (No Terminate),0.75,22,4.0
Random (No Terminate),0.75,386,85.0
Random (No Terminate),0.75,166,40.0
Random (No Terminate),0.75,228,42.0
Random (No Terminate),0.75,167,41.0
Random (No Terminate),0.75,180,40.0
Random (No Terminate),0.75,500,86.0
Random (No Terminate),0.75,166,40.0
Random (No Terminate),0.75,500,109.0
Random (No Terminate),0.75,288,80.0
Random (No Terminate),0.75,188,41.0
Random (No Terminate),0.75,500,100.0
Random (No Terminate),0.75,432,82.0
Random (No Terminate),0.75,157,40.0
Random (No Terminate),0.75,66,3.0
Random (No Terminate),0.75,500,96.0
Random (No Terminate),0.75,321,80.0
Random (No Terminate),0.75,388,85.0
Random (No Terminate),0.75,276,80.0
Random (No Terminate),0.75,348,80.0
Random (No Terminate),0.75,121,40.0
Random (No Terminate),0.75,500,128.0
Random (No Terminate),0.75,119,40.0
Random (No Terminate),0.75,171,40.0
Random (No Terminate),0.75,500,95.0
Random (No Terminate),0.75,373,86.0
Random (No Terminate),0.75,238,40.0
Random (No Terminate),0.75,48,4.0
Random (No Terminate),0.75,341,80.0
Random (No Terminate),0.75,77,13.0
Random (No Terminate),0.75,147,40.0
Random (No Terminate),0.75,33,3.0
Random (No Terminate),0.75,133,21.0
Random (No Terminate),0.75,442,120.0
Random (No Terminate),0.75,235,49.0
Random (No Terminate),0.75,129,15.0
Random (No Terminate),0.75,223,42.0
Random (No Terminate),0.75,344,84.0
Random (No Terminate),0.75,500,104.0
Random (No Terminate),0.75,500,91.0
Random (No Terminate),0.75,191,40.0
Random (No Terminate),0.75,141,40.0
Random (No Terminate),0.75,128,40.0
Random (No Terminate),0.75,500,105.0
Random (No Terminate),0.75,16,3.0
Random (No Terminate),0.75,190,40.0
Random (No Terminate),0.75,277,52.0
Random (No Terminate),0.75,153,45.0
Random (No Terminate),0.75,333,85.0
Random (No Terminate),0.75,500,114.0
Random (No Terminate),0.75,406,80.0
Random (No Terminate),0.75,394,89.0
Random (No Terminate),0.75,223,59.0
Random (No Terminate),0.75,58,6.0
Random (No Terminate),0.75,383,82.0
Random (No Terminate),0.75,187,40.0
Random (No Terminate),0.75,187,41.0
Random (No Terminate),0.75,278,52.0
Random (No Terminate),0.75,359,84.0
Random (No Terminate),0.75,177,24.0
Random (No Terminate),0.75,500,125.0
Random (No Terminate),0.75,304,80.0
Random (No Terminate),0.75,174,40.0
Random (No Terminate),0.75,280,42.0
Random (No Terminate),0.75,144,22.0
Random (No Terminate),0.75,477,120.0
Random (No Terminate),0.75,14,1.0
Random (No Terminate),0.75,177,41.0
Random (No Terminate),0.75,467,120.0
Random (No Terminate),0.75,112,40.0
Random (No Terminate),0.75,500,125.0
Random (No Terminate),0.75,27,2.0
Random (No Terminate),0.75,500,130.0
Random (No Terminate),0.75,500,107.0
Random (No Terminate),0.75,299,80.0
Random (No Terminate),0.75,99,17.0
Random (No Terminate),0.75,179,44.0
Random (No Terminate),0.75,500,126.0
Random (No Terminate),0.75,165,40.0
Random (No Terminate),0.75,56,1.0
Random (No Terminate),0.75,195,41.0
Random (No Terminate),0.75,186,41.0
Random (No Terminate),0.75,500,107.0
Random (No Terminate),0.75,500,116.0
Random (No Terminate),0.75,165,40.0
Instant Terminate,0.9,16,2.0
Instant Terminate,0.9,55,1.0
Instant Terminate,0.9,177,40.0
Instant Terminate,0.9,187,40.0
Instant Terminate,0.9,57,6.0
Instant Terminate,0.9,34,1.0
Instant Terminate,0.9,103,15.0
Instant Terminate,0.9,293,49.0
Instant Terminate,0.9,43,1.0
Instant Terminate,0.9,106,6.0
Instant Terminate,0.9,201,40.0
Instant Terminate,0.9,500,67.0
Instant Terminate,0.9,500,83.0
Instant Terminate,0.9,500,91.0
Instant Terminate,0.9,500,88.0
Instant Terminate,0.9,28,4.0
Instant Terminate,0.9,500,57.0
Instant Terminate,0.9,77,4.0
Instant Terminate,0.9,86,12.0
Instant Terminate,0.9,158,40.0
Instant Terminate,0.9,25,4.0
Instant Terminate,0.9,328,48.0
Instant Terminate,0.9,43,2.0
Instant Terminate,0.9,57,8.0
Instant Terminate,0.9,173,28.0
Instant Terminate,0.9,221,40.0
Instant Terminate,0.9,112,15.0
Instant Terminate,0.9,185,16.0
Instant Terminate,0.9,17,1.0
Instant Terminate,0.9,298,46.0
Instant Terminate,0.9,81,12.0
Instant Terminate,0.9,317,47.0
Instant Terminate,0.9,11,1.0
Instant Terminate,0.9,271,58.0
Instant Terminate,0.9,392,84.0
Instant Terminate,0.9,427,46.0
Instant Terminate,0.9,116,20.0
Instant Terminate,0.9,86,8.0
Instant Terminate,0.9,134,18.0
Instant Terminate,0.9,334,48.0
Instant Terminate,0.9,20,2.0
Instant Terminate,0.9,27,0.0
Instant Terminate,0.9,149,40.0
Instant Terminate,0.9,21,2.0
Instant Terminate,0.9,500,78.0
Instant Terminate,0.9,214,40.0
Instant Terminate,0.9,470,92.0
Instant Terminate,0.9,180,48.0
Instant Terminate,0.9,154,40.0
Instant Terminate,0.9,30,2.0
Instant Terminate,0.9,162,13.0
Instant Terminate,0.9,232,26.0
Instant Terminate,0.9,231,47.0
Instant Terminate,0.9,96,10.0
Instant Terminate,0.9,500,81.0
Instant Terminate,0.9,278,39.0
Instant Terminate,0.9,500,78.0
Instant Terminate,0.9,123,22.0
Instant Terminate,0.9,152,40.0
Instant Terminate,0.9,294,43.0
Instant Terminate,0.9,44,0.0
Instant Terminate,0.9,500,84.0
Instant Terminate,0.9,328,50.0
Instant Terminate,0.9,500,64.0
Instant Terminate,0.9,500,70.0
Instant Terminate,0.9,64,3.0
Instant Terminate,0.9,84,3.0
Instant Terminate,0.9,139,40.0
Instant Terminate,0.9,219,29.0
Instant Terminate,0.9,500,78.0
Instant Terminate,0.9,220,25.0
Instant Terminate,0.9,500,89.0
Instant Terminate,0.9,438,62.0
Instant Terminate,0.9,104,5.0
Instant Terminate,0.9,70,6.0
Instant Terminate,0.9,500,68.0
Instant Terminate,0.9,500,57.0
Instant Terminate,0.9,177,40.0
Instant Terminate,0.9,481,71.0
Instant Terminate,0.9,176,22.0
Instant Terminate,0.9,50,6.0
Instant Terminate,0.9,50,4.0
Instant Terminate,0.9,81,6.0
Instant Terminate,0.9,274,47.0
Instant Terminate,0.9,431,82.0
Instant Terminate,0.9,216,40.0
Instant Terminate,0.9,291,41.0
Instant Terminate,0.9,374,48.0
Instant Terminate,0.9,500,69.0
Instant Terminate,0.9,309,21.0
Instant Terminate,0.9,57,5.0
Instant Terminate,0.9,173,40.0
Instant Terminate,0.9,146,28.0
Instant Terminate,0.9,318,59.0
Instant Terminate,0.9,416,67.0
Instant Terminate,0.9,56,3.0
Instant Terminate,0.9,500,109.0
Instant Terminate,0.9,62,10.0
Instant Terminate,0.9,206,23.0
Instant Terminate,0.9,404,84.0
AStar,0.9,126,40.0
AStar,0.9,130,40.0
AStar,0.9,139,40.0
AStar,0.9,168,40.0
AStar,0.9,180,40.0
AStar,0.9,91,40.0
AStar,0.9,222,44.0
AStar,0.9,56,4.0
AStar,0.9,23,3.0
AStar,0.9,263,43.0
AStar,0.9,24,7.0
AStar,0.9,30,2.0
AStar,0.9,176,41.0
AStar,0.9,3,0.0
AStar,0.9,205,43.0
AStar,0.9,132,42.0
AStar,0.9,142,40.0
AStar,0.9,10,3.0
AStar,0.9,108,40.0
AStar,0.9,500,121.0
AStar,0.9,57,4.0
AStar,0.9,342,86.0
AStar,0.9,6,0.0
AStar,0.9,298,81.0
AStar,0.9,283,81.0
AStar,0.9,258,44.0
AStar,0.9,299,55.0
AStar,0.9,99,40.0
AStar,0.9,168,40.0
AStar,0.9,40,5.0
AStar,0.9,163,41.0
AStar,0.9,115,40.0
AStar,0.9,295,85.0
AStar,0.9,272,45.0
AStar,0.9,500,108.0
AStar,0.9,212,41.0
AStar,0.9,185,40.0
AStar,0.9,358,62.0
AStar,0.9,269,80.0
AStar,0.9,117,40.0
AStar,0.9,314,80.0
AStar,0.9,11,1.0
AStar,0.9,199,40.0
AStar,0.9,500,133.0
AStar,0.9,75,8.0
AStar,0.9,151,40.0
AStar,0.9,484,120.0
AStar,0.9,129,40.0
AStar,0.9,500,107.0
AStar,0.9,153,40.0
AStar,0.9,139,40.0
AStar,0.9,194,40.0
AStar,0.9,10,2.0
AStar,0.9,166,40.0
AStar,0.9,454,107.0
AStar,0.9,4,0.0
AStar,0.9,185,48.0
AStar,0.9,301,63.0
AStar,0.9,345,80.0
AStar,0.9,182,43.0
AStar,0.9,29,1.0
AStar,0.9,184,40.0
AStar,0.9,267,80.0
AStar,0.9,341,85.0
AStar,0.9,500,128.0
AStar,0.9,176,40.0
AStar,0.9,227,80.0
AStar,0.9,32,3.0
AStar,0.9,174,40.0
AStar,0.9,64,6.0
AStar,0.9,169,40.0
AStar,0.9,62,8.0
AStar,0.9,481,120.0
AStar,0.9,3,1.0
AStar,0.9,7,0.0
AStar,0.9,500,130.0
AStar,0.9,168,40.0
AStar,0.9,397,83.0
AStar,0.9,31,3.0
AStar,0.9,235,46.0
AStar,0.9,139,40.0
AStar,0.9,466,86.0
AStar,0.9,176,40.0
AStar,0.9,459,120.0
AStar,0.9,22,5.0
AStar,0.9,137,40.0
AStar,0.9,1,0.0
AStar,0.9,263,32.0
AStar,0.9,500,131.0
AStar,0.9,173,42.0
AStar,0.9,158,40.0
AStar,0.9,421,91.0
AStar,0.9,169,40.0
AStar,0.9,150,41.0
AStar,0.9,61,8.0
AStar,0.9,32,2.0
AStar,0.9,424,120.0
AStar,0.9,310,80.0
AStar,0.9,344,84.0
AStar,0.9,203,40.0
Random,0.9,78,7.0
Random,0.9,78,7.0
Random,0.9,131,18.0
Random,0.9,166,20.0
Random,0.9,158,40.0
Random,0.9,225,51.0
Random,0.9,95,6.0
Random,0.9,116,19.0
Random,0.9,127,21.0
Random,0.9,341,60.0
Random,0.9,266,48.0
Random,0.9,173,23.0
Random,0.9,193,48.0
Random,0.9,47,3.0
Random,0.9,24,1.0
Random,0.9,500,92.0
Random,0.9,55,6.0
Random,0.9,494,79.0
Random,0.9,22,1.0
Random,0.9,324,60.0
Random,0.9,500,100.0
Random,0.9,205,28.0
Random,0.9,249,46.0
Random,0.9,313,83.0
Random,0.9,248,46.0
Random,0.9,13,1.0
Random,0.9,373,56.0
Random,0.9,470,58.0
Random,0.9,16,0.0
Random,0.9,158,40.0
Random,0.9,165,40.0
Random,0.9,226,44.0
Random,0.9,48,1.0
Random,0.9,112,11.0
Random,0.9,458,70.0
Random,0.9,311,34.0
Random,0.9,131,11.0
Random,0.9,500,93.0
Random,0.9,165,43.0
Random,0.9,214,40.0
Random,0.9,190,40.0
Random,0.9,500,109.0
Random,0.9,500,120.0
Random,0.9,50,5.0
Random,0.9,164,40.0
Random,0.9,52,1.0
Random,0.9,51,3.0
Random,0.9,153,20.0
Random,0.9,152,42.0
Random,0.9,156,40.0
Random,0.9,36,3.0
Random,0.9,322,61.0
Random,0.9,331,40.0
Random,0.9,302,51.0
Random,0.9,254,52.0
Random,0.9,294,51.0
Random,0.9,170,40.0
Random,0.9,42,1.0
Random,0.9,500,89.0
Random,0.9,500,90.0
Random,0.9,120,27.0
Random,0.9,386,57.0
Random,0.9,381,55.0
Random,0.9,374,95.0
Random,0.9,348,62.0
Random,0.9,12,1.0
Random,0.9,356,36.0
Random,0.9,81,7.0
Random,0.9,213,37.0
Random,0.9,268,52.0
Random,0.9,208,40.0
Random,0.9,36,3.0
Random,0.9,485,103.0
Random,0.9,62,6.0
Random,0.9,340,81.0
Random,0.9,290,61.0
Random,0.9,155,40.0
Random,0.9,201,22.0
Random,0.9,246,43.0
Random,0.9,500,106.0
Random,0.9,234,49.0
Random,0.9,246,48.0
Random,0.9,354,81.0
Random,0.9,251,16.0
Random,0.9,24,3.0
Random,0.9,483,78.0
Random,0.9,124,40.0
Random,0.9,175,41.0
Random,0.9,62,9.0
Random,0.9,96,6.0
Random,0.9,496,110.0
Random,0.9,500,106.0
Random,0.9,313,57.0
Random,0.9,366,80.0
Random,0.9,162,41.0
Random,0.9,171,40.0
Random,0.9,213,40.0
Random,0.9,322,80.0
Random,0.9,211,44.0
Random,0.9,320,66.0
Random (No Terminate),0.9,41,4.0
Random (No Terminate),0.9,153,40.0
Random (No Terminate),0.9,295,80.0
Random (No Terminate),0.9,306,82.0
Random (No Terminate),0.9,324,83.0
Random (No Terminate),0.9,40,1.0
Random (No Terminate),0.9,367,80.0
Random (No Terminate),0.9,304,80.0
Random (No Terminate),0.9,144,40.0
Random (No Terminate),0.9,500,122.0
Random (No Terminate),0.9,500,79.0
Random (No Terminate),0.9,500,96.0
Random (No Terminate),0.9,146,40.0
Random (No Terminate),0.9,343,87.0
Random (No Terminate),0.9,185,47.0
Random (No Terminate),0.9,453,120.0
Random (No Terminate),0.9,500,85.0
Random (No Terminate),0.9,104,40.0
Random (No Terminate),0.9,164,40.0
Random (No Terminate),0.9,500,123.0
Random (No Terminate),0.9,500,119.0
Random (No Terminate),0.9,500,96.0
Random (No Terminate),0.9,176,42.0
Random (No Terminate),0.9,16,0.0
Random (No Terminate),0.9,110,40.0
Random (No Terminate),0.9,500,133.0
Random (No Terminate),0.9,500,111.0
Random (No Terminate),0.9,119,40.0
Random (No Terminate),0.9,343,80.0
Random (No Terminate),0.9,500,103.0
Random (No Terminate),0.9,426,86.0
Random (No Terminate),0.9,500,109.0
Random (No Terminate),0.9,500,95.0
Random (No Terminate),0.9,383,80.0
Random (No Terminate),0.9,500,105.0
Random (No Terminate),0.9,11,1.0
Random (No Terminate),0.9,309,80.0
Random (No Terminate),0.9,40,6.0
Random (No Terminate),0.9,284,80.0
Random (No Terminate),0.9,500,107.0
Random (No Terminate),0.9,469,120.0
Random (No Terminate),0.9,500,108.0
Random (No Terminate),0.9,210,40.0
Random (No Terminate),0.9,355,90.0
Random (No Terminate),0.9,161,40.0
Random (No Terminate),0.9,224,40.0
Random (No Terminate),0.9,21,5.0
Random (No Terminate),0.9,13,1.0
Random (No Terminate),0.9,137,40.0
Random (No Terminate),0.9,491,86.0
Random (No Terminate),0.9,433,97.0
Random (No Terminate),0.9,214,45.0
Random (No Terminate),0.9,38,5.0
Random (No Terminate),0.9,326,57.0
Random (No Terminate),0.9,471,130.0
Random (No Terminate),0.9,306,80.0
Random (No Terminate),0.9,377,81.0
Random (No Terminate),0.9,102,40.0
Random (No Terminate),0.9,500,143.0
Random (No Terminate),0.9,500,109.0
Random (No Terminate),0.9,322,60.0
Random (No Terminate),0.9,471,125.0
Random (No Terminate),0.9,469,112.0
Random (No Terminate),0.9,500,102.0
Random (No Terminate),0.9,11,1.0
Random (No Terminate),0.9,302,80.0
Random (No Terminate),0.9,345,82.0
Random (No Terminate),0.9,134,40.0
Random (No Terminate),0.9,500,111.0
Random (No Terminate),0.9,23,4.0
Random (No Terminate),0.9,500,102.0
Random (No Terminate),0.9,414,84.0
Random (No Terminate),0.9,177,41.0
Random (No Terminate),0.9,19,2.0
Random (No Terminate),0.9,151,40.0
Random (No Terminate),0.9,13,1.0
Random (No Terminate),0.9,146,43.0
Random (No Terminate),0.9,500,100.0
Random (No Terminate),0.9,98,40.0
Random (No Terminate),0.9,143,40.0
Random (No Terminate),0.9,303,80.0
Random (No Terminate),0.9,49,3.0
Random (No Terminate),0.9,500,103.0
Random (No Terminate),0.9,3,0.0
Random (No Terminate),0.9,187,40.0
Random (No Terminate),0.9,313,80.0
Random (No Terminate),0.9,408,97.0
Random (No Terminate),0.9,500,96.0
Random (No Terminate),0.9,0,0.0
Random (No Terminate),0.9,285,60.0
Random (No Terminate),0.9,341,80.0
Random (No Terminate),0.9,187,41.0
Random (No Terminate),0.9,493,96.0
Random (No Terminate),0.9,239,51.0
Random (No Terminate),0.9,432,82.0
Random (No Terminate),0.9,500,111.0
Random (No Terminate),0.9,329,80.0
Random (No Terminate),0.9,500,106.0
Random (No Terminate),0.9,176,41.0
Random (No Terminate),0.9,161,40.0
