Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Instant Terminate,0.25,17,2.0
Instant Terminate,0.25,33,7.0
Instant Terminate,0.25,37,1.0
Instant Terminate,0.25,38,2.0
Instant Terminate,0.25,39,4.0
Instant Terminate,0.25,40,1.0
Instant Terminate,0.25,36,2.0
Instant Terminate,0.25,72,6.0
Instant Terminate,0.25,38,2.0
Instant Terminate,0.25,85,10.0
Instant Terminate,0.25,92,8.0
Instant Terminate,0.25,13,1.0
Instant Terminate,0.25,108,10.0
Instant Terminate,0.25,37,5.0
Instant Terminate,0.25,17,1.0
Instant Terminate,0.25,81,15.0
Instant Terminate,0.25,81,7.0
Instant Terminate,0.25,90,15.0
Instant Terminate,0.25,149,16.0
Instant Terminate,0.25,53,7.0
Instant Terminate,0.25,164,13.0
