Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Instant Terminate,1.0,18,0.0
,Instant Terminate,1.0,27,2.0
,Instant Terminate,1.0,29,2.0
,Instant Terminate,1.0,29,4.0
,Instant Terminate,1.0,36,1.0
,Instant Terminate,1.0,40,0.0
,Instant Terminate,1.0,41,3.0
,Instant Terminate,1.0,47,2.0
,Instant Terminate,1.0,54,3.0
,Instant Terminate,1.0,59,4.0
,Instant Terminate,1.0,69,4.0
,Instant Terminate,1.0,101,15.0
,Instant Terminate,1.0,131,14.0
,Instant Terminate,1.0,141,12.0
,Instant Terminate,1.0,171,19.0
,Instant Terminate,1.0,173,40.0
,Instant Terminate,1.0,227,40.0
,Instant Terminate,1.0,236,40.0
,Instant Terminate,1.0,239,40.0
,Instant Terminate,1.0,251,40.0
