Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Random (No Terminate),1.0,5,0.0
,Random (No Terminate),1.0,6,0.0
,Random (No Terminate),1.0,6,0.0
,Random (No Terminate),1.0,6,0.0
,Random (No Terminate),1.0,8,0.0
,Random (No Terminate),1.0,8,0.0
,Random (No Terminate),1.0,8,0.0
,Random (No Terminate),1.0,8,0.0
,Random (No Terminate),1.0,9,0.0
,Random (No Terminate),1.0,11,0.0
,Random (No Terminate),1.0,11,0.0
,Random (No Terminate),1.0,12,0.0
,Random (No Terminate),1.0,12,0.0
,Random (No Terminate),1.0,12,0.0
,Random (No Terminate),1.0,13,0.0
,Random (No Terminate),1.0,14,0.0
,Random (No Terminate),1.0,15,0.0
,Random (No Terminate),1.0,16,0.0
,Random (No Terminate),1.0,16,0.0
,Random (No Terminate),1.0,16,0.0
,Random (No Terminate),1.0,16,0.0
,Random (No Terminate),1.0,18,0.0
,Random (No Terminate),1.0,24,0.0
,Random (No Terminate),1.0,25,0.0
,Random (No Terminate),1.0,25,0.0
,Random (No Terminate),1.0,26,0.0
,Random (No Terminate),1.0,26,0.0
,Random (No Terminate),1.0,28,0.0
,Random (No Terminate),1.0,54,1.0
,Random (No Terminate),1.0,56,1.0
,Random (No Terminate),1.0,58,0.0
,Random (No Terminate),1.0,98,0.0
,AStar,1.0,7,0.0
,AStar,1.0,8,0.0
,AStar,1.0,8,0.0
,AStar,1.0,8,0.0
,AStar,1.0,8,0.0
,AStar,1.0,8,0.0
,AStar,1.0,9,0.0
,AStar,1.0,9,0.0
,AStar,1.0,13,0.0
,AStar,1.0,8,0.0
,AStar,1.0,18,0.0
,AStar,1.0,18,0.0
,AStar,1.0,18,0.0
,AStar,1.0,18,0.0
,AStar,1.0,11,0.0
,AStar,1.0,20,0.0
,AStar,1.0,12,0.0
,AStar,1.0,20,0.0
,AStar,1.0,21,0.0
,AStar,1.0,15,0.0
,AStar,1.0,23,0.0
,AStar,1.0,6,0.0
,AStar,1.0,7,0.0
,AStar,1.0,25,0.0
,AStar,1.0,8,0.0
,AStar,1.0,27,0.0
,AStar,1.0,8,0.0
,AStar,1.0,13,0.0
,AStar,1.0,13,0.0
,AStar,1.0,33,0.0
,AStar,1.0,28,0.0
,AStar,1.0,43,0.0
,AStar,1.0,8,0.0
,AStar,1.0,16,0.0
,AStar,1.0,21,0.0
,AStar,1.0,42,0.0
,AStar,1.0,30,0.0
,AStar,1.0,27,0.0
,AStar,1.0,9,0.0
,AStar,1.0,52,0.0
,AStar,1.0,19,0.0
,AStar,1.0,24,0.0
