Meta-level Policy,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,eval_steps_per_env,no_video,video_fps,video_steps,pretrained_percentile,expand_all_actions,finish_on_terminate,action_repeats,agent_name,collect_steps_per_iteration,discount,env,epsilon,epsilon_decay_steps,epsilon_schedule,eval_steps,experience_batch_size,final_epsilon,frame_stack,grayscale,initial_collect_steps,initial_epsilon,learning_rate,max_epochs,metrics,model_config,n_collect_envs,n_eval_envs,n_video_envs,name,optimiser_config,procgen_env_name,replay_buffer_capacity,run_dir,target_network_update_period,train_steps_per_epoch,video_seconds,pretrained_epoch,pretrained_return,pretrained_path,EvalRewrittenAverageReturn,EvalNumberOfEpisodes,EvalEnvironmentSteps,EvalAverageReturn,EvalAverageEpisodeLength,EvalTime,ObjectLevelMeanReward,ObjectLevelMeanStepsPerEpisode,ObjectLevelEpisodes,EvalFinalPolicyValue
Terminator,,sync/dqn,run-16823527592836354,64,1000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,0.0,16000,16000,0.0,1.0,306.8931784629822,18.93877551020408,163.26530612244898,98,
AStar,,sync/dqn,run-16823527592836354,64,1000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,-0.2330146,1776,16000,1.8478041,9.0,506.31946563720703,4.5,83.25,8,18.209608644294043
Random,,sync/dqn,run-16823527592836354,64,1000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,-14.250087,5072,16004,17.40127,3.1474764,401.4230442047119,10.142857142857142,125.8,35,18.03851020882083
RandomNoTerminate,,sync/dqn,run-16823527592836354,64,1000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,-12.582338,3900,16008,16.09591,4.090256,392.4629616737366,8.291666666666666,142.16666666666666,24,18.21366802840504
Terminator,,sync/dqn,run-16823527592836354,64,1000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,0.0,16000,16000,0.0,1.0,313.05861616134644,26.053571428571427,285.7142857142857,56,
AStar,,sync/dqn,run-16823527592836354,64,1000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-0.22038427,1776,16000,3.2380548,9.0,524.3074727058411,4.5,111.0,2,22.968139553876977
Random,,sync/dqn,run-16823527592836354,64,1000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-11.690532,4997,16000,43.40409,3.1959176,403.23008012771606,23.333333333333332,252.06666666666666,15,23.34787597089199
RandomNoTerminate,,sync/dqn,run-16823527592836354,64,1000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-13.917005,4154,16007,30.589994,3.8420799,396.54215836524963,13.928571428571429,187.5,14,23.16128731633994
