         6480212 function calls (6193349 primitive calls) in 49.846 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   764536    1.738    0.000    1.738    0.000 /tf/mlrl/procgen/procgen_state.py:148(__hash__)
17878/686    0.319    0.000    1.703    0.002 /tf/mlrl/meta/search_tree.py:435(recursive_copy)
    31366    0.128    0.000    1.682    0.000 /tf/mlrl/meta/search_tree.py:511(<genexpr>)
17878/686    0.168    0.000    1.641    0.002 /tf/mlrl/meta/search_tree.py:451(recursive_update_node_list)
     4398    0.021    0.000    1.497    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/profiler/trace.py:178(wrapped)
     4398    0.069    0.000    1.476    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
    20200    1.389    0.000    1.389    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   241397    0.879    0.000    1.310    0.000 {method 'get' of 'dict' objects}
     4016    0.032    0.000    1.279    0.000 /tf/mlrl/meta/search_tree.py:283(expand_node)
     2612    0.022    0.000    1.270    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:170(constant)
     2612    0.035    0.000    1.248    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
     4016    0.054    0.000    1.227    0.000 /tmp/ipykernel_21839/1781336316.py:90(patched_create_child)
     2612    0.011    0.000    1.192    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:302(_constant_eager_impl)
    22856    1.127    0.000    1.185    0.000 /usr/lib/python3.8/typing.py:868(__new__)
     2612    1.144    0.000    1.181    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
    35024    0.175    0.000    1.154    0.000 /tf/mlrl/meta/tree_tokenisation.py:64(encode_node_id)
      548    0.032    0.000    1.133    0.002 /tf/mlrl/meta/meta_env.py:346(get_computational_reward)
   147376    0.721    0.000    1.129    0.000 /tf/mlrl/meta/q_estimation.py:45(<listcomp>)
     1274    0.008    0.000    1.116    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1430(convert_to_tensor_v2_with_dispatch)
35070/17878    0.433    0.000    1.112    0.000 /usr/lib/python3.8/copy.py:128(deepcopy)
     1274    0.017    0.000    1.108    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1498(convert_to_tensor_v2)
      346    0.002    0.000    1.047    0.003 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_conversion_registry.py:46(_default_conversion_function)
   303064    0.963    0.000    1.046    0.000 /tf/mlrl/meta/search_tree.py:237(get_q_value)
      548    0.005    0.000    0.995    0.002 /tf/mlrl/meta/tree_tokenisation.py:172(can_tokenise)
      548    0.036    0.000    0.989    0.002 /tf/mlrl/meta/tree_tokenisation.py:174(<listcomp>)
     4016    0.887    0.000    0.982    0.000 /tf/mlrl/procgen/procgen_state.py:109(set_variables)
    35024    0.878    0.000    0.979    0.000 /tf/mlrl/utils/__init__.py:23(compute_positional_encoding)
     7743    0.108    0.000    0.956    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:1398(binary_op_wrapper)
     8865    0.108    0.000    0.862    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:1962(tensor_equals)
     1510    0.042    0.000    0.788    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:808(map_structure)
    19873    0.096    0.000    0.758    0.000 /tf/mlrl/meta/search_tree.py:96(find_cycle)
      296    0.013    0.000    0.742    0.003 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:345(assert_matching_dtypes_and_inner_shapes)
      640    0.004    0.000    0.693    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:7273(__next__)
      444    0.041    0.000    0.682    0.002 /usr/local/lib/python3.8/dist-packages/keras/layers/convolutional/base_conv.py:241(call)
      650    0.054    0.000    0.680    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
     1510    0.007    0.000    0.668    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:916(<listcomp>)
    19873    0.119    0.000    0.662    0.000 /tf/mlrl/meta/search_tree.py:100(<listcomp>)
     1096    0.010    0.000    0.645    0.001 /tf/mlrl/meta/search_tree.py:575(__hash__)
