         5596271 function calls (5293936 primitive calls) in 46.977 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   46.982   23.491 /usr/local/lib/python3.8/dist-packages/IPython/core/interactiveshell.py:3361(run_code)
        2    0.000    0.000   46.981   23.491 {built-in method builtins.exec}
        1    0.000    0.000   46.981   46.981 /tmp/ipykernel_32228/1631964753.py:9(<cell line: 9>)
    30/10    0.001    0.000   46.553    4.655 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/py_environment.py:198(step)
       10    0.009    0.001   46.551    4.655 /tmp/ipykernel_32228/1781336316.py:147(_step)
       10    0.002    0.000   25.149    2.515 /tmp/ipykernel_32228/1781336316.py:155(<listcomp>)
      640    0.009    0.000   25.147    0.039 /tmp/ipykernel_32228/1781336316.py:159(_create_time_step)
      640    0.034    0.000   25.133    0.039 /tf/mlrl/meta/meta_env.py:536(observe)
      640    0.056    0.000   12.806    0.020 /tmp/ipykernel_32228/1781336316.py:107(get_expansion_requests)
      640    0.017    0.000   12.663    0.020 /tf/mlrl/meta/meta_env.py:499(act)
      689    0.005    0.000   12.646    0.018 /tf/mlrl/meta/meta_env.py:151(<lambda>)
      689    0.014    0.000   12.641    0.018 /tf/mlrl/meta/tree_policy.py:117(__init__)
      640    0.018    0.000   10.123    0.016 /tf/mlrl/meta/meta_env.py:285(get_observation)
      640    0.013    0.000   10.101    0.016 /tf/mlrl/meta/tree_tokenisation.py:148(tokenise)
      640    0.107    0.000    9.886    0.015 /tf/mlrl/meta/tree_tokenisation.py:150(<listcomp>)
    18664    0.800    0.000    9.724    0.001 /tf/mlrl/meta/tree_tokenisation.py:98(node_tokenisation)
      689    0.004    0.000    8.764    0.013 /tf/mlrl/meta/q_estimation.py:110(estimate_and_cache_optimal_q_values)
19049/689    0.156    0.000    8.759    0.013 /tf/mlrl/meta/q_estimation.py:84(estimate_optimal_q_distribution)
19049/689    0.511    0.000    8.746    0.013 /tf/mlrl/meta/q_estimation.py:95(<dictcomp>)
152392/5512    2.809    0.000    8.730    0.002 /tf/mlrl/meta/q_estimation.py:38(estimate_optimal_q_value)
      520    0.005    0.000    7.953    0.015 /tf/mlrl/meta/meta_env.py:484(perform_computational_action)
       10    0.047    0.005    7.771    0.777 /tmp/ipykernel_32228/1781336316.py:117(handle_requests)
     9467    0.061    0.000    5.777    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1123(_numpy)
      520    0.128    0.000    5.771    0.011 /tf/mlrl/meta/tree_tokenisation.py:180(get_node_idx)
     9467    5.717    0.001    5.717    0.001 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
     9147    0.057    0.000    5.545    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1069(__bool__)
31811/21184    0.234    0.000    5.523    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
    16169    4.888    0.000    4.955    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:383(call_c_func)
23804/21184    0.199    0.000    4.722    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
      130    0.006    0.000    4.413    0.034 /tf/mlrl/procgen/procgen_state.py:27(call)
    37328    0.335    0.000    3.955    0.000 /tf/mlrl/meta/search_tree.py:247(get_value)
