         15515765 function calls (15205077 primitive calls) in 64.094 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   64.121   32.060 /usr/local/lib/python3.8/dist-packages/IPython/core/interactiveshell.py:3361(run_code)
        2    0.000    0.000   64.121   32.060 {built-in method builtins.exec}
        1    0.000    0.000   64.121   64.121 /tmp/ipykernel_17627/105231299.py:10(<cell line: 10>)
   650/10    0.006    0.000   63.937    6.394 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/py_environment.py:198(step)
       10    0.000    0.000   63.937    6.394 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:150(_step)
       10    0.000    0.000   63.475    6.347 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:104(_execute)
       10    0.001    0.000   63.475    6.347 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:108(<listcomp>)
      640    0.002    0.000   63.473    0.099 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:174(<lambda>)
      533    0.007    0.000   62.002    0.116 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/gym_wrapper.py:206(_step)
      533    0.016    0.000   61.670    0.116 /tf/mlrl/meta/meta_env.py:425(step)
      426    0.003    0.000   46.491    0.109 /tf/mlrl/meta/meta_env.py:410(perform_computational_action)
      426    0.016    0.000   43.850    0.103 /tf/mlrl/meta/search_tree.py:513(expand_all)
     3408    0.045    0.000   43.591    0.013 /tf/mlrl/meta/search_tree.py:527(expand_action)
     3408    0.079    0.000   43.096    0.013 /tf/mlrl/meta/search_tree.py:265(expand_node)
     3622    0.015    0.000   42.312    0.012 /tf/mlrl/procgen/procgen_state.py:59(extract_state)
     3622    0.376    0.000   42.297    0.012 /tf/mlrl/procgen/procgen_state.py:82(__init__)
     3622    0.106    0.000   40.971    0.011 /tf/mlrl/procgen/procgen_state.py:26(call)
     3622    0.123    0.000   33.645    0.009 /usr/local/lib/python3.8/dist-packages/tf_agents/networks/network.py:349(__call__)
25354/7244    0.174    0.000   30.758    0.004 /usr/local/lib/python3.8/dist-packages/keras/utils/traceback_utils.py:58(error_handler)
25354/7244    1.643    0.000   30.666    0.004 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:893(__call__)
25354/7244    0.114    0.000   25.149    0.003 /usr/local/lib/python3.8/dist-packages/keras/utils/traceback_utils.py:88(error_handler)
     3622    0.164    0.000   23.665    0.007 /usr/local/lib/python3.8/dist-packages/tf_agents/networks/encoding_network.py:300(call)
116822/104381    0.642    0.000   14.427    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
107001/104381    0.616    0.000   12.787    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
    10866    0.212    0.000    6.673    0.001 /usr/local/lib/python3.8/dist-packages/keras/layers/convolutional/base_conv.py:241(call)
      640    0.005    0.000    6.382    0.010 /tf/mlrl/meta/meta_env.py:285(get_observation)
      640    0.008    0.000    6.375    0.010 /tf/mlrl/meta/tree_tokenisation.py:148(tokenise)
      640    0.056    0.000    6.311    0.010 /tf/mlrl/meta/tree_tokenisation.py:150(<listcomp>)
      640    0.003    0.000    6.060    0.009 /tf/mlrl/meta/meta_env.py:151(<lambda>)
      640    0.007    0.000    6.058    0.009 /tf/mlrl/meta/tree_policy.py:117(__init__)
    14776    0.418    0.000    5.651    0.000 /tf/mlrl/meta/tree_tokenisation.py:98(node_tokenisation)
    36783    0.549    0.000    4.942    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:808(map_structure)
    72820    0.890    0.000    4.196    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:765(__init__)
      640    0.003    0.000    4.172    0.007 /tf/mlrl/meta/q_estimation.py:110(estimate_and_cache_optimal_q_values)
14992/640    0.076    0.000    4.169    0.007 /tf/mlrl/meta/q_estimation.py:84(estimate_optimal_q_distribution)
14992/640    0.242    0.000    4.164    0.007 /tf/mlrl/meta/q_estimation.py:95(<dictcomp>)
119936/5120    1.347    0.000    4.153    0.001 /tf/mlrl/meta/q_estimation.py:38(estimate_optimal_q_value)
    86141    4.045    0.000    4.045    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   130562    0.409    0.000    4.001    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1256(shape)
     7244    0.218    0.000    3.667    0.001 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:345(assert_matching_dtypes_and_inner_shapes)
   326460    1.490    0.000    3.332    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
    36783    0.136    0.000    3.266    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:916(<listcomp>)
    86961    0.270    0.000    3.200    0.000 /tf/mlrl/meta/search_tree.py:214(duplicate_state_ancestor)
    10866    0.098    0.000    3.139    0.000 /usr/local/lib/python3.8/dist-packages/keras/layers/convolutional/base_conv.py:217(convolution_op)
   228626    0.930    0.000    3.118    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
    25354    0.615    0.000    3.032    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/input_spec.py:155(assert_input_compatibility)
    42612    0.156    0.000    3.015    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/profiler/trace.py:178(wrapped)
     7244    0.188    0.000    2.948    0.000 /usr/local/lib/python3.8/dist-packages/keras/layers/core/dense.py:166(call)
    86961    0.469    0.000    2.930    0.000 /tf/mlrl/meta/search_tree.py:224(find_duplicate_state_ancestor)
    42612    0.477    0.000    2.859    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
    10866    0.040    0.000    2.823    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:1140(convolution_v2)
    10866    0.315    0.000    2.783    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:1166(convolution_internal)
   203479    0.901    0.000    2.754    0.000 /tf/mlrl/meta/search_tree.py:88(__eq__)
1490815/1490695    2.365    0.000    2.681    0.000 {built-in method builtins.isinstance}
      426    0.075    0.000    2.638    0.006 /tf/mlrl/meta/tree_tokenisation.py:180(get_node_idx)
     3515    0.087    0.000    2.617    0.001 /tf/mlrl/experiments/procgen_meta.py:28(repeated_step)
      214    0.003    0.000    2.527    0.012 /tf/mlrl/meta/meta_env.py:267(get_root_tree)
    14060    0.250    0.000    2.524    0.000 /tf/mlrl/experiments/procgen_meta.py:41(normalised_step)
   110761    0.536    0.000    2.500    0.000 {built-in method builtins.any}
    14026    0.052    0.000    2.444    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1123(_numpy)
    29066    0.102    0.000    2.410    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1430(convert_to_tensor_v2_with_dispatch)
    14026    2.392    0.000    2.392    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
     7244    0.043    0.000    2.391    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_inspect.py:247(getfullargspec)
     3622    0.096    0.000    2.377    0.001 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:820(get_outer_rank)
    29066    0.109    0.000    2.308    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1498(convert_to_tensor_v2)
    14060    0.199    0.000    2.274    0.000 /usr/local/lib/python3.8/dist-packages/gym3/interop.py:274(step)
     7244    0.422    0.000    2.265    0.000 /usr/lib/python3.8/inspect.py:1102(getfullargspec)
441347/411567    1.438    0.000    2.179    0.000 {built-in method builtins.hash}
    10896    0.178    0.000    2.147    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:1231(is_compatible_with)
    34559    0.359    0.000    2.056    0.000 /tf/mlrl/meta/search_tree.py:347(can_expand)
    14776    0.118    0.000    1.993    0.000 /tf/mlrl/meta/search_tree.py:504(has_valid_expansions)
313824/313774    0.557    0.000    1.982    0.000 {built-in method builtins.hasattr}
    25354    0.135    0.000    1.977    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:3389(_convert_numpy_or_python_types)
    16508    0.059    0.000    1.910    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:170(constant)
      640    0.004    0.000    1.875    0.003 /tf/mlrl/meta/tree_policy.py:13(__init__)
      640    0.009    0.000    1.872    0.003 /tf/mlrl/meta/search_tree.py:424(copy)
    16508    0.119    0.000    1.851    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
    29552    0.146    0.000    1.842    0.000 /tf/mlrl/meta/search_tree.py:247(get_value)
    18110    0.276    0.000    1.771    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:3479(bias_add)
    43784    0.147    0.000    1.747    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:846(dims)
    10866    0.081    0.000    1.705    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:2742(_conv2d_expanded_batch)
    45941    0.477    0.000    1.682    0.000 {built-in method builtins.max}
