         4242161 function calls (3943652 primitive calls) in 34.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   34.424   17.212 /usr/local/lib/python3.8/dist-packages/IPython/core/interactiveshell.py:3361(run_code)
        2    0.000    0.000   34.424   17.212 {built-in method builtins.exec}
        1    0.000    0.000   34.424   34.424 /tmp/ipykernel_32976/1631964753.py:9(<cell line: 9>)
    30/10    0.001    0.000   34.116    3.412 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/py_environment.py:198(step)
       10    0.007    0.001   34.114    3.411 /tmp/ipykernel_32976/1781336316.py:147(_step)
       10    0.002    0.000   15.963    1.596 /tmp/ipykernel_32976/1781336316.py:155(<listcomp>)
      640    0.008    0.000   15.961    0.025 /tmp/ipykernel_32976/1781336316.py:159(_create_time_step)
      640    0.022    0.000   15.946    0.025 /tf/mlrl/meta/meta_env.py:536(observe)
      672    0.004    0.000   11.343    0.017 /tf/mlrl/meta/meta_env.py:151(<lambda>)
      672    0.012    0.000   11.338    0.017 /tf/mlrl/meta/tree_policy.py:117(__init__)
      640    0.039    0.000   10.251    0.016 /tmp/ipykernel_32976/1781336316.py:107(get_expansion_requests)
      640    0.016    0.000   10.124    0.016 /tf/mlrl/meta/meta_env.py:499(act)
      672    0.004    0.000    7.435    0.011 /tf/mlrl/meta/q_estimation.py:110(estimate_and_cache_optimal_q_values)
18752/672    0.121    0.000    7.431    0.011 /tf/mlrl/meta/q_estimation.py:84(estimate_optimal_q_distribution)
18752/672    0.463    0.000    7.420    0.011 /tf/mlrl/meta/q_estimation.py:95(<dictcomp>)
150016/5376    2.422    0.000    7.405    0.001 /tf/mlrl/meta/q_estimation.py:38(estimate_optimal_q_value)
       10    0.052    0.005    7.160    0.716 /tmp/ipykernel_32976/1781336316.py:117(handle_requests)
      540    0.005    0.000    6.978    0.013 /tf/mlrl/meta/meta_env.py:484(perform_computational_action)
      540    0.123    0.000    5.623    0.010 /tf/mlrl/meta/tree_tokenisation.py:185(get_node_idx)
     9363    0.041    0.000    5.081    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1123(_numpy)
     9363    5.040    0.001    5.040    0.001 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
31099/20556    0.219    0.000    5.018    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
     9083    0.045    0.000    5.006    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1069(__bool__)
    16132    4.506    0.000    4.551    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:383(call_c_func)
23176/20556    0.229    0.000    4.251    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
      672    0.018    0.000    3.886    0.006 /tf/mlrl/meta/tree_policy.py:13(__init__)
      672    0.013    0.000    3.868    0.006 /tf/mlrl/meta/search_tree.py:428(copy)
      110    0.004    0.000    3.274    0.030 /tf/mlrl/procgen/procgen_state.py:27(call)
      110    0.005    0.000    2.864    0.026 /usr/local/lib/python3.8/dist-packages/tf_agents/networks/network.py:349(__call__)
      120    0.096    0.001    2.730    0.023 /usr/local/lib/python3.8/dist-packages/procgen/env.py:140(get_state)
      640    0.009    0.000    2.453    0.004 /tf/mlrl/meta/meta_env.py:285(get_observation)
      640    0.010    0.000    2.441    0.004 /tf/mlrl/meta/tree_tokenisation.py:153(tokenise)
  770/220    0.006    0.000    2.375    0.011 /usr/local/lib/python3.8/dist-packages/keras/utils/traceback_utils.py:58(error_handler)
  770/220    0.064    0.000    2.372    0.011 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:893(__call__)
      640    0.094    0.000    2.245    0.004 /tf/mlrl/meta/tree_tokenisation.py:155(<listcomp>)
    18584    0.190    0.000    2.105    0.000 /tf/mlrl/meta/tree_tokenisation.py:98(node_tokenisation)
    22580    0.326    0.000    2.027    0.000 /tf/mlrl/meta/search_tree.py:554(add_node)
      100    0.003    0.000    1.994    0.020 /tf/mlrl/meta/meta_env.py:515(terminate)
      682    0.032    0.000    1.989    0.003 /usr/local/lib/python3.8/dist-packages/procgen/env.py:149(set_state)
18616/672    0.280    0.000    1.960    0.003 /tf/mlrl/meta/search_tree.py:436(recursive_copy)
     3964    0.044    0.000    1.797    0.000 /tf/mlrl/procgen/procgen_state.py:83(__init__)
18616/672    0.150    0.000    1.763    0.003 /tf/mlrl/meta/search_tree.py:452(recursive_update_node_list)
      100    0.002    0.000    1.754    0.018 /tf/mlrl/meta/meta_env.py:267(get_root_tree)
      100    0.001    0.000    1.744    0.017 /tf/mlrl/procgen/procgen_state.py:60(extract_state)
   152521    0.663    0.000    1.710    0.000 /tf/mlrl/meta/search_tree.py:495(get_state_nodes)
  770/220    0.004    0.000    1.705    0.008 /usr/local/lib/python3.8/dist-packages/keras/utils/traceback_utils.py:88(error_handler)
30508/26544    0.286    0.000    1.688    0.000 /usr/lib/python3.8/functools.py:947(__get__)
    19876    1.687    0.000    1.687    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
208889/171211    1.065    0.000    1.665    0.000 {built-in method builtins.hash}
