         17726585 function calls (16906589 primitive calls) in 125.474 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    91431    4.283    0.000    4.283    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
    17283    0.062    0.000    4.225    0.000 /tf/mlrl/meta/search_tree.py:95(find_cycle)
    17283    0.071    0.000    4.163    0.000 /tf/mlrl/meta/search_tree.py:99(<listcomp>)
   136610    0.435    0.000    4.114    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1256(shape)
     7580    0.234    0.000    3.905    0.001 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:345(assert_matching_dtypes_and_inner_shapes)
      450    0.009    0.000    3.816    0.008 /tf/mlrl/meta/meta_env.py:341(get_computational_reward)
   341580    1.590    0.000    3.557    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
    38475    0.147    0.000    3.471    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:916(<listcomp>)
   239210    1.004    0.000    3.349    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
    11370    0.100    0.000    3.305    0.000 /usr/local/lib/python3.8/dist-packages/keras/layers/convolutional/base_conv.py:217(convolution_op)
    26530    0.659    0.000    3.243    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/input_spec.py:155(assert_input_compatibility)
    44460    0.168    0.000    3.193    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/profiler/trace.py:178(wrapped)
     7580    0.198    0.000    3.115    0.000 /usr/local/lib/python3.8/dist-packages/keras/layers/core/dense.py:166(call)
    44460    0.506    0.000    3.025    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
    11370    0.043    0.000    2.975    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:1140(convolution_v2)
      900    0.004    0.000    2.965    0.003 /tf/mlrl/meta/search_tree.py:571(__hash__)
    11370    0.335    0.000    2.932    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:1166(convolution_internal)
    31348    0.102    0.000    2.906    0.000 /tf/mlrl/meta/search_tree.py:392(__hash__)
1558330/1558210    2.507    0.000    2.836    0.000 {built-in method builtins.isinstance}
    15333    0.058    0.000    2.772    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1123(_numpy)
     3695    0.093    0.000    2.765    0.001 /tf/mlrl/experiments/procgen_meta.py:28(repeated_step)
    15333    2.714    0.000    2.714    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
    14780    0.266    0.000    2.666    0.000 /tf/mlrl/experiments/procgen_meta.py:41(normalised_step)
    30410    0.109    0.000    2.566    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1430(convert_to_tensor_v2_with_dispatch)
     7580    0.046    0.000    2.548    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_inspect.py:247(getfullargspec)
     3790    0.102    0.000    2.525    0.001 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:820(get_outer_rank)
    30410    0.115    0.000    2.457    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1498(convert_to_tensor_v2)
     7580    0.455    0.000    2.414    0.000 /usr/lib/python3.8/inspect.py:1102(getfullargspec)
    14780    0.211    0.000    2.399    0.000 /usr/local/lib/python3.8/dist-packages/gym3/interop.py:274(step)
      190    0.003    0.000    2.312    0.012 /tf/mlrl/meta/meta_env.py:267(get_root_tree)
    11400    0.190    0.000    2.283    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:1231(is_compatible_with)
328255/328205    0.596    0.000    2.122    0.000 {built-in method builtins.hasattr}
    26530    0.146    0.000    2.099    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:3389(_convert_numpy_or_python_types)
    31728    0.161    0.000    2.023    0.000 /tf/mlrl/meta/search_tree.py:246(get_value)
    17180    0.062    0.000    2.013    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:170(constant)
    17180    0.126    0.000    1.950    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
    18950    0.287    0.000    1.863    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:3479(bias_add)
    45800    0.156    0.000    1.854    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:846(dims)
    49106    0.527    0.000    1.846    0.000 {built-in method builtins.max}
    11370    0.087    0.000    1.791    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:2742(_conv2d_expanded_batch)
    17180    0.065    0.000    1.749    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:302(_constant_eager_impl)
    22740    0.139    0.000    1.724    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2449(_maybe_cast_inputs)
    45800    0.299    0.000    1.698    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:858(<listcomp>)
    17180    1.563    0.000    1.684    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
     7693    0.032    0.000    1.631    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1069(__bool__)
    11370    0.055    0.000    1.631    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_nn_ops.py:860(conv2d)
15160/7580    0.130    0.000    1.568    0.000 /usr/lib/python3.8/inspect.py:2218(_signature_from_callable)
     7935    0.034    0.000    1.538    0.000 /usr/local/lib/python3.8/dist-packages/gym3/wrapper.py:28(callmethod)
     7580    0.230    0.000    1.533    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:3488(matmul)
     7935    0.044    0.000    1.504    0.000 /usr/local/lib/python3.8/dist-packages/gym3/env.py:68(callmethod)
     7630    0.029    0.000    1.504    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_conversion_registry.py:46(_default_conversion_function)
       95    0.003    0.000    1.470    0.015 /tf/mlrl/meta/meta_env.py:374(terminate_step)
   318770    0.997    0.000    1.454    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:199(__init__)
     3790    0.036    0.000    1.453    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_inspect.py:108(getargspec)
     3790    0.073    0.000    1.450    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_inspect.py:269(getcallargs)
       95    0.001    0.000    1.385    0.015 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/py_environment.py:180(reset)
       95    0.001    0.000    1.385    0.015 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/gym_wrapper.py:191(_reset)
     7580    0.308    0.000    1.356    0.000 /usr/lib/python3.8/inspect.py:2124(_signature_from_function)
     3790    0.027    0.000    1.343    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_inspect.py:65(_getargspec)
    26530    0.105    0.000    1.342    0.000 /usr/local/lib/python3.8/dist-packages/keras/utils/traceback_utils.py:74(inject_argument_info_in_traceback)
