index,Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,n_envs,n_episodes,max_steps,no_video,video_fps,video_steps,Normalized Return,Environment
365,,$\hat{Q}^*$,0.9,38.5,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
364,,$\hat{Q}^*$,0.9,45.0,12.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.2891566265060241,BigFish
363,,$\hat{Q}^*$,0.9,117.5,23.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.5542168674698795,BigFish
362,,$\hat{Q}^*$,0.9,53.5,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
361,,$\hat{Q}^*$,0.9,125.0,19.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.46987951807228917,BigFish
360,,$\hat{Q}^*$,0.9,5.25,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
359,,$\hat{Q}^*$,0.9,37.25,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
358,,$\hat{Q}^*$,0.9,6.75,0.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0,BigFish
357,,$\hat{Q}^*$,0.9,5.0,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
368,,$\hat{Q}^*$,0.9,58.0,6.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.1566265060240964,BigFish
218,,$\hat{Q}^*$,0.75,6.75,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.024096385542168676,BigFish
271,,$\hat{Q}^*$,0.75,123.75,17.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.42771084337349397,BigFish
216,,$\hat{Q}^*$,0.5,44.0,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
88,,$\hat{Q}^*$,0.25,5.0,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
87,,$\hat{Q}^*$,0.25,18.75,2.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.05421686746987952,BigFish
86,,$\hat{Q}^*$,0.25,27.25,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08433734939759036,BigFish
85,,$\hat{Q}^*$,0.25,34.25,3.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.07228915662650602,BigFish
84,,$\hat{Q}^*$,0.25,59.5,7.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.18674698795180722,BigFish
83,,$\hat{Q}^*$,0.25,73.25,4.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.1144578313253012,BigFish
82,,$\hat{Q}^*$,0.25,32.5,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04216867469879518,BigFish
81,,$\hat{Q}^*$,0.25,22.0,2.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04819277108433735,BigFish
80,,$\hat{Q}^*$,0.25,7.75,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
79,,$\hat{Q}^*$,0.25,16.25,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.024096385542168676,BigFish
78,,$\hat{Q}^*$,0.25,60.0,3.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.07228915662650602,BigFish
77,,$\hat{Q}^*$,0.25,26.5,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08433734939759036,BigFish
76,,$\hat{Q}^*$,0.25,95.5,17.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.42168674698795183,BigFish
75,,$\hat{Q}^*$,0.25,51.75,7.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.18674698795180722,BigFish
74,,$\hat{Q}^*$,0.25,44.75,7.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.18072289156626506,BigFish
