Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Instant Terminate,1.0,3,0.0
,Instant Terminate,1.0,32,2.0
,Instant Terminate,1.0,45,1.0
,Instant Terminate,1.0,68,11.0
,Instant Terminate,1.0,116,9.0
,Instant Terminate,1.0,120,17.0
,Instant Terminate,1.0,137,13.0
,Instant Terminate,1.0,185,25.0
,Instant Terminate,1.0,49,2.0
,Instant Terminate,1.0,9,0.0
,Instant Terminate,1.0,176,40.0
,Instant Terminate,1.0,196,40.0
,Instant Terminate,1.0,201,40.0
,Instant Terminate,1.0,162,40.0
,Instant Terminate,1.0,64,6.0
,Instant Terminate,1.0,61,2.0
,Instant Terminate,1.0,98,7.0
,Instant Terminate,1.0,25,2.0
,Instant Terminate,1.0,17,0.0
,Instant Terminate,1.0,48,5.0
,Instant Terminate,1.0,99,11.0
,Instant Terminate,1.0,263,40.0
,Instant Terminate,1.0,136,40.0
,Instant Terminate,1.0,27,2.0
,Instant Terminate,1.0,28,1.0
,Instant Terminate,1.0,16,1.0
,Instant Terminate,1.0,186,40.0
,Instant Terminate,1.0,29,1.0
,Instant Terminate,1.0,35,2.0
,Instant Terminate,1.0,60,2.0
,Instant Terminate,1.0,20,0.0
,Instant Terminate,1.0,30,2.0
,Instant Terminate,1.0,32,3.0
,Instant Terminate,1.0,30,1.0
,Instant Terminate,1.0,144,40.0
,Instant Terminate,1.0,22,2.0
,Instant Terminate,1.0,21,0.0
,Instant Terminate,1.0,29,3.0
,Instant Terminate,1.0,182,40.0
,Instant Terminate,1.0,110,8.0
,Instant Terminate,1.0,8,1.0
,Instant Terminate,1.0,41,4.0
,Instant Terminate,1.0,187,16.0
,Instant Terminate,1.0,42,2.0
,Instant Terminate,1.0,161,40.0
,Instant Terminate,1.0,109,23.0
,Instant Terminate,1.0,39,5.0
,Instant Terminate,1.0,44,2.0
,Instant Terminate,1.0,172,19.0
,Instant Terminate,1.0,89,4.0
,Instant Terminate,1.0,51,5.0
,Instant Terminate,1.0,28,3.0
,Instant Terminate,1.0,280,40.0
,Instant Terminate,1.0,73,5.0
,Instant Terminate,1.0,174,24.0
,Instant Terminate,1.0,55,4.0
,Instant Terminate,1.0,78,10.0
,Instant Terminate,1.0,33,2.0
,Instant Terminate,1.0,122,16.0
,Instant Terminate,1.0,131,20.0
,Instant Terminate,1.0,211,40.0
,Instant Terminate,1.0,178,40.0
,Instant Terminate,1.0,27,1.0
,Instant Terminate,1.0,38,4.0
,Instant Terminate,1.0,22,3.0
,Instant Terminate,1.0,55,1.0
,Instant Terminate,1.0,171,40.0
,Instant Terminate,1.0,3,0.0
,Instant Terminate,1.0,193,40.0
,Instant Terminate,1.0,272,40.0
,Instant Terminate,1.0,203,40.0
,Instant Terminate,1.0,28,5.0
,Instant Terminate,1.0,110,12.0
,Instant Terminate,1.0,8,0.0
,Instant Terminate,1.0,160,40.0
,Instant Terminate,1.0,44,9.0
,Instant Terminate,1.0,3,0.0
,Instant Terminate,1.0,214,40.0
,Instant Terminate,1.0,145,40.0
,Instant Terminate,1.0,135,40.0
,Instant Terminate,1.0,199,26.0
,Instant Terminate,1.0,177,40.0
,Instant Terminate,1.0,69,4.0
,Instant Terminate,1.0,99,5.0
,Instant Terminate,1.0,77,6.0
,Instant Terminate,1.0,33,4.0
,Instant Terminate,1.0,137,40.0
,Instant Terminate,1.0,2,0.0
,Instant Terminate,1.0,64,7.0
,Instant Terminate,1.0,24,1.0
,Instant Terminate,1.0,177,40.0
,Instant Terminate,1.0,16,0.0
,Instant Terminate,1.0,14,1.0
,Instant Terminate,1.0,16,1.0
,Instant Terminate,1.0,179,40.0
,Instant Terminate,1.0,55,6.0
,Instant Terminate,1.0,191,40.0
,Instant Terminate,1.0,34,1.0
,Instant Terminate,1.0,38,4.0
,Instant Terminate,1.0,72,8.0
,Instant Terminate,1.0,88,3.0
,Instant Terminate,1.0,48,3.0
,Instant Terminate,1.0,113,9.0
,Instant Terminate,1.0,11,1.0
,Instant Terminate,1.0,23,2.0
,Instant Terminate,1.0,155,40.0
,Instant Terminate,1.0,9,0.0
,Instant Terminate,1.0,3,0.0
,Instant Terminate,1.0,16,0.0
,Instant Terminate,1.0,120,22.0
,Instant Terminate,1.0,235,40.0
,Instant Terminate,1.0,232,40.0
,Instant Terminate,1.0,104,16.0
,Instant Terminate,1.0,21,1.0
,Instant Terminate,1.0,41,3.0
,Instant Terminate,1.0,29,0.0
,Instant Terminate,1.0,131,21.0
,Instant Terminate,1.0,126,18.0
,Instant Terminate,1.0,184,40.0
,Instant Terminate,1.0,38,5.0
,Instant Terminate,1.0,118,11.0
,Instant Terminate,1.0,60,10.0
,Instant Terminate,1.0,162,16.0
,Instant Terminate,1.0,60,4.0
,Instant Terminate,1.0,212,40.0
,Instant Terminate,1.0,102,9.0
,Instant Terminate,1.0,25,0.0
,Instant Terminate,1.0,32,0.0
,Instant Terminate,1.0,243,40.0
,Instant Terminate,1.0,14,1.0
,Instant Terminate,1.0,67,9.0
,Instant Terminate,1.0,64,6.0
,Instant Terminate,1.0,23,2.0
,Instant Terminate,1.0,67,3.0
,Instant Terminate,1.0,37,0.0
,Instant Terminate,1.0,40,2.0
,Instant Terminate,1.0,81,8.0
,Instant Terminate,1.0,170,40.0
,Instant Terminate,1.0,156,40.0
,Instant Terminate,1.0,214,40.0
,Instant Terminate,1.0,174,40.0
,Instant Terminate,1.0,27,0.0
,Instant Terminate,1.0,25,2.0
,Instant Terminate,1.0,89,6.0
,Instant Terminate,1.0,116,13.0
,Instant Terminate,1.0,29,2.0
,Instant Terminate,1.0,20,0.0
,Instant Terminate,1.0,38,6.0
,Instant Terminate,1.0,77,11.0
,Instant Terminate,1.0,170,40.0
,Instant Terminate,1.0,29,1.0
,Instant Terminate,1.0,211,40.0
,Instant Terminate,1.0,227,40.0
,Instant Terminate,1.0,64,6.0
,Instant Terminate,1.0,19,2.0
,Instant Terminate,1.0,58,4.0
,Instant Terminate,1.0,230,40.0
,Instant Terminate,1.0,25,1.0
,Instant Terminate,1.0,36,4.0
,Instant Terminate,1.0,13,1.0
,Instant Terminate,1.0,49,2.0
,Instant Terminate,1.0,75,5.0
,Instant Terminate,1.0,15,1.0
,Instant Terminate,1.0,26,2.0
,Instant Terminate,1.0,67,7.0
,Instant Terminate,1.0,228,40.0
,Instant Terminate,1.0,77,9.0
,Instant Terminate,1.0,72,11.0
